frame,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
45,434,0,0,0,0,0,3,-135,42,29,-5,-108,21,50,-34,-64,69,63
46,445,0,0,0,0,0,1,-129,41,26,-5,-108,18,49,-31,-60,46,58
47,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,464,0,0,0,0,0,-14,-118,28,24,-19,-94,32,43,-20,-52,44,52
49,465,0,0,0,0,0,-6,-115,25,28,-17,-90,42,36,-18,-55,41,55
50,466,0,0,0,0,0,-8,-74,28,27,-8,-49,42,49,0,0,0,0
51,467,0,0,0,0,0,1,-126,29,202,0,0,0,0,0,0,0,0
52,468,0,0,0,0,0,12,-63,18,121,0,0,0,0,0,0,0,0
53,469,0,0,0,0,0,1,-60,20,118,0,0,0,0,0,0,0,0
54,470,0,0,0,0,0,-43,-125,83,125,0,0,0,0,0,0,0,0
55,471,0,0,0,0,0,-41,-94,80,123,0,0,0,0,0,0,0,0
56,472,0,0,0,0,0,-1,-24,29,26,-4,0,61,30,0,0,0,0
57,475,0,0,0,0,0,0,0,0,0,-17,-51,24,53,0,0,0,0
58,478,0,0,0,0,0,0,0,0,0,-16,-54,26,54,0,0,0,0
59,481,0,0,0,0,0,0,0,0,0,-13,-52,24,52,0,0,0,0
60,484,0,0,0,0,0,0,0,0,0,-9,-51,18,53,0,0,0,0
61,487,0,0,0,0,0,0,0,0,0,-8,-52,19,52,0,0,0,0
62,490,0,0,0,0,0,0,0,0,0,-8,-51,21,51,0,0,0,0
63,493,0,0,0,0,0,0,0,0,0,-7,-53,23,54,0,0,0,0
64,496,0,0,0,0,0,0,0,0,0,-7,-52,26,51,0,0,0,0
65,499,0,0,0,0,0,0,0,0,0,-7,-51,28,50,0,0,0,0
66,504,0,0,0,0,0,-12,-123,23,25,-14,-99,24,40,-18,-60,27,57
67,509,0,0,0,0,0,-10,-121,23,24,-11,-98,23,40,-22,-60,41,56
68,514,0,0,0,0,0,-11,-125,24,24,-11,-102,24,45,-43,-59,73,49
69,519,0,0,0,0,0,-12,-124,25,25,-15,-100,26,45,-46,-57,77,53
70,524,0,0,0,0,0,-10,-122,24,26,-13,-99,23,43,-33,-58,53,56
71,529,0,0,0,0,0,-11,-121,24,23,-15,-99,26,41,-32,-60,42,57
72,534,0,0,0,0,0,-11,-123,24,25,-13,-100,22,41,-16,-60,29,58
73,539,0,0,0,0,0,-10,-123,22,24,-10,-100,21,42,-16,-58,34,50
74,544,0,0,0,0,0,-11,-123,24,23,-11,-100,20,42,-29,-59,51,51
75,549,0,0,0,0,0,-10,-124,23,24,-14,-101,24,48,-38,-54,69,49
76,554,0,0,0,0,0,-10,-124,23,24,-14,-101,24,45,-33,-58,52,55
77,559,0,0,0,0,0,-10,-122,22,23,-12,-99,21,39,-25,-62,37,61
78,571,0,0,0,0,0,5,-120,27,25,-13,-95,42,40,-13,-58,31,57
79,583,0,0,0,0,0,-1,-93,24,25,-24,-68,47,27,-20,-39,38,39
80,594,0,0,0,0,0,4,-65,22,15,-17,-54,41,21,-21,-34,41,34
81,605,0,0,0,0,0,5,-120,27,25,-13,-95,42,40,-13,-58,31,57
82,616,0,0,0,0,0,-1,-93,24,25,-24,-68,47,27,-20,-39,38,39
83,627,0,0,0,0,0,-2,-62,28,11,-18,-53,40,19,-20,-35,40,33
84,632,0,0,0,0,0,3,-133,22,24,-7,-110,25,45,-14,-67,36,56
85,637,0,0,0,0,0,7,-129,24,24,-4,-108,24,39,-9,-71,37,53
86,642,0,0,0,0,0,2,-116,24,23,-10,-96,22,46,-13,-52,31,52
87,647,0,0,0,0,0,-1,-87,21,25,-15,-71,19,33,-22,-39,41,39
88,652,0,0,0,0,0,1,-75,24,22,-15,-57,24,20,-20,-38,40,38
89,657,0,0,0,0,0,-1,-132,22,24,-10,-109,22,38,-16,-72,40,54
90,669,0,0,0,0,0,-10,-132,28,26,-7,-105,30,50,-11,-57,28,58
91,681,0,0,0,0,0,-10,-117,26,24,-6,-93,27,49,-17,-45,34,45
92,693,0,0,0,0,0,-5,-104,25,26,-6,-79,22,49,-27,-32,39,32
93,705,0,0,0,0,0,-5,-105,26,27,-5,-79,21,47,-30,-33,37,33
94,717,0,0,0,0,0,4,-101,27,26,1,-74,21,46,-34,-29,39,29
95,729,0,0,0,0,0,36,-82,26,26,2,-56,43,36,-36,-22,45,22
96,740,0,0,0,0,0,52,-24,25,26,1,-14,51,14,-68,-13,68,15
97,751,0,0,0,0,0,48,-36,27,24,-2,-19,55,15,-68,-14,68,16
98,763,0,0,0,0,0,-71,-117,26,24,-47,-103,56,45,-21,-62,38,60
99,775,0,0,0,0,0,-81,-109,27,26,-55,-95,57,43,-22,-55,36,50
100,787,0,0,0,0,0,-73,-117,27,24,-54,-100,52,48,-20,-56,33,55
101,799,0,0,0,0,0,-49,-127,26,24,-36,-106,35,45,-19,-63,33,63
102,811,0,0,0,0,0,-59,-110,27,25,-35,-95,41,46,-16,-53,43,51
103,823,0,0,0,0,0,-47,-117,26,25,-35,-96,40,47,-18,-54,41,51
104,835,0,0,0,0,0,-36,-117,26,25,-30,-94,36,47,-14,-51,34,49
105,847,0,0,0,0,0,-30,-117,26,25,-26,-92,31,45,-21,-50,43,48
106,859,0,0,0,0,0,-27,-116,26,25,-24,-92,39,43,-17,-50,42,49
107,871,0,0,0,0,0,-21,-118,27,29,-21,-90,35,40,-16,-51,39,51
108,883,0,0,0,0,0,-13,-116,24,25,-17,-93,41,46,-14,-47,44,46
109,895,0,0,0,0,0,-8,-111,23,21,-15,-90,37,40,-14,-50,40,48
110,907,0,0,0,0,0,-11,-116,23,23,-19,-94,36,41,-18,-52,40,51
111,919,0,0,0,0,0,-14,-118,28,24,-19,-94,32,43,-20,-52,44,52
112,930,0,0,0,0,0,-11,-112,25,27,-21,-87,55,32,-17,-54,50,48
113,942,99,61,61,0,0,-23,-92,50,44,-10,-36,60,30,-39,-93,49,70
114,954,99,61,61,0,0,-33,-62,53,42,-11,-25,72,20,-52,-63,67,56
115,966,99,69,69,0,0,-40,-61,91,36,-22,-26,50,20,-60,-46,90,48
116,978,99,69,69,0,0,-58,-32,77,29,-21,-50,73,25,-53,-34,72,39
117,990,99,69,69,0,0,-62,-25,74,26,6,-40,49,35,-58,-28,79,33
118,1001,0,0,0,0,0,-65,-30,27,27,-37,-28,51,22,12,-35,61,22
119,1012,0,0,0,0,0,-64,-33,25,25,-40,-31,55,21,12,-32,59,28
120,1023,0,0,0,0,0,-64,-21,27,25,-38,-15,56,19,17,-13,58,16
121,1035,99,61,61,0,0,-46,-85,62,39,5,-51,45,41,-57,-97,68,55
122,1047,99,61,61,0,0,-55,-73,70,32,10,-49,45,43,-61,-80,79,42
123,1059,99,61,61,0,0,-58,-41,93,20,31,-36,34,35,-73,-46,105,26
124,1070,0,0,0,0,0,-57,-25,23,25,-35,-19,57,20,20,-19,52,21
125,1081,0,0,0,0,0,-53,-56,25,23,-48,-35,42,37,-7,-27,57,28
126,1092,0,0,0,0,0,-1,-70,25,27,-15,-49,27,19,-18,-31,58,32
127,1103,0,0,0,0,0,16,-88,26,25,-5,-70,30,34,-13,-37,38,37
128,1114,0,0,0,0,0,14,-106,24,26,-4,-82,27,35,-9,-49,30,49
129,1126,0,0,0,0,0,-65,-113,25,25,-45,-94,41,38,-16,-58,39,53
130,1138,0,0,0,0,0,-45,-101,24,24,-28,-80,42,34,-2,-48,46,46
131,1150,0,0,0,0,0,-48,-127,23,23,-37,-103,34,43,-21,-59,38,59
132,1162,0,0,0,0,0,-64,-120,24,22,-46,-100,40,40,-21,-60,38,56
133,1173,0,0,0,0,0,37,-40,23,24,-3,-30,42,29,-55,-27,54,27
134,1184,0,0,0,0,0,32,-62,25,21,-3,-45,45,42,-45,-30,43,34
135,1195,0,0,0,0,0,1,-74,24,22,-18,-54,34,28,-24,-27,47,28
136,1206,0,0,0,0,0,-2,-119,24,24,-16,-98,37,42,-23,-56,46,55
137,1217,0,0,0,0,0,16,-119,27,26,-4,-98,42,39,-14,-60,40,58
138,1229,2,56,59,0,0,4,-105,59,35,-8,-73,42,71,18,-93,81,19
139,1240,0,0,0,0,0,12,-118,25,26,-1,-95,28,35,-10,-60,33,59
140,1252,4,55,58,0,0,13,-111,41,58,-1,-55,38,52,18,-99,80,23
141,1263,0,0,0,0,0,9,-115,25,24,-8,-93,53,32,-9,-60,39,59
142,1274,0,0,0,0,0,-11,-111,47,26,3,-87,31,32,-3,-56,38,54
143,1285,0,0,0,0,0,1,-118,33,33,-5,-90,30,34,-10,-57,37,57
144,1297,8,67,67,0,0,31,-127,41,67,9,-68,46,65,26,-140,77,76
145,1308,0,0,0,0,0,15,-125,43,25,7,-104,38,43,-3,-60,41,60
146,1320,6,60,60,0,0,-9,-91,65,27,-53,-64,78,27,-53,-90,112,57
147,1332,10,60,60,0,0,38,-108,35,54,1,-59,43,55,-4,-90,96,36
148,1343,0,0,0,0,0,23,-110,27,22,15,-88,45,29,-5,-60,38,55
149,1354,0,0,0,0,0,-10,-125,24,25,2,-104,27,48,-13,-59,34,58
150,1365,0,0,0,0,0,1,-121,24,24,-14,-99,40,39,-18,-59,45,59
151,1376,0,0,0,0,0,-9,-126,26,26,-18,-101,31,42,-11,-60,25,58
152,1388,2,57,58,0,0,-18,-120,44,55,-9,-65,46,61,-1,-65,76,50
153,1400,4,56,59,0,0,-32,-126,38,60,-7,-95,17,95,-21,-114,98,58
154,1411,0,0,0,0,0,-12,-125,24,25,-15,-100,40,37,-15,-65,28,64
155,1420,0,0,0,0,0,-19,-127,22,27,-5,-100,17,98,8,-148,17,72
156,1429,0,0,0,0,0,-26,-124,22,24,-14,-98,19,31,-3,-149,20,149
157,1441,6,66,66,0,0,-21,-110,39,56,1,-60,54,54,-7,-104,87,94
158,1452,0,0,0,0,0,-22,-122,22,23,-18,-99,28,40,-21,-61,34,58
159,1463,0,0,0,0,0,-7,-132,22,22,-17,-113,37,37,-19,-75,36,59
160,1474,0,0,0,0,0,-4,-140,23,23,-21,-122,48,44,-15,-80,26,61
161,1486,6,68,68,0,0,-38,-142,45,96,2,-109,91,31,-15,-102,108,35
162,1497,0,0,0,0,0,-11,-141,22,22,-22,-121,46,38,-4,-85,32,56
163,1506,0,0,0,0,0,10,-115,23,24,-6,-93,56,32,-9,-64,35,63
164,1516,3,62,69,0,0,-13,-123,43,78,-16,-50,20,50,-9,-85,52,53
165,1525,0,0,0,0,0,-8,-122,21,22,-13,-101,43,71,-19,-33,21,33
166,1537,0,0,0,0,0,29,-101,22,21,-2,-91,55,40,-12,-70,34,67
167,1549,0,0,0,0,0,24,-98,24,42,-21,-95,45,53,-23,-48,32,42
168,1561,0,0,0,0,0,19,-95,24,41,-22,-93,45,55,-34,-62,29,49
169,1571,0,0,0,0,0,-24,-114,24,22,-34,-95,48,31,-26,-65,42,64
170,1582,0,0,0,0,0,-15,-122,22,22,-22,-100,51,30,-20,-70,35,68
171,1594,8,68,68,0,0,-20,-122,39,55,-2,-66,21,66,-4,-112,92,52
172,1605,0,0,0,0,0,-19,-119,21,22,-11,-95,31,93,7,-68,53,35
173,1616,0,0,0,0,0,-30,-118,22,25,-32,-93,40,32,-11,-60,34,55
174,1627,0,0,0,0,0,-2,-137,39,27,-13,-112,32,92,-28,-112,14,14
175,1638,0,0,0,0,0,-9,-141,33,33,-15,-108,30,75,12,-44,30,23
176,1649,0,0,0,0,0,-4,-144,21,79,-19,-126,46,29,-21,-66,46,37
177,1659,20,61,61,0,0,-15,-61,24,22,-29,-45,59,45,-269,-99,553,104
178,1668,0,0,0,0,0,-17,-55,20,22,-30,-59,57,58,-29,-34,58,33
179,1677,0,0,0,0,0,6,-115,23,20,-1,-95,61,16,-19,-82,45,79
180,1688,0,0,0,0,0,6,-115,34,39,-7,-85,19,32,-26,-54,46,53
181,1697,0,0,0,0,0,-54,-106,31,28,-24,-89,24,28,-25,-60,37,59
182,1707,0,0,0,0,0,-64,-77,25,36,-40,-82,28,22,-28,-67,33,63
183,1718,0,0,0,0,0,-33,-113,21,23,-37,-91,46,35,-19,-59,36,57
184,1729,0,0,0,0,0,6,-113,22,23,-2,-93,45,28,-16,-65,38,65
185,1740,0,0,0,0,0,20,-120,25,42,2,-100,19,35,-13,-66,35,54
186,1749,0,0,0,0,0,44,-116,23,21,-1,-120,47,30,-48,-110,48,40
187,1758,0,0,0,0,0,15,-28,35,26,2,-54,34,26,-52,-65,57,30
188,1768,99,61,61,0,0,-3,-65,35,58,-47,-95,57,37,-8,-75,56,70
189,1778,99,61,61,0,0,-11,-70,29,60,-27,-123,41,58,-18,-84,57,79
190,1788,99,69,69,0,0,-40,-37,58,35,2,-92,36,62,-34,-57,72,61
191,1799,0,0,0,0,0,-1,-87,26,22,-31,-75,73,29,-13,-50,30,33
192,1810,0,0,0,0,0,28,-61,24,22,9,-47,29,49,-42,-77,69,41
193,1821,0,0,0,0,0,34,-68,24,25,-21,-68,59,30,-55,-41,100,37
194,1832,0,0,0,0,0,33,-92,23,24,-3,-78,49,35,-20,-59,32,59
195,1844,99,69,69,0,0,2,-39,50,32,-51,-40,54,35,-48,-35,100,39
196,1855,0,0,0,0,0,47,-39,26,23,-1,-26,54,21,-66,-30,65,25
197,1866,0,0,0,0,0,-44,-39,23,24,-44,-86,43,46,1,-88,51,38
198,1877,0,0,0,0,0,-2,-27,21,22,-38,-55,52,33,-15,-97,42,41
199,1889,99,69,69,0,0,-16,-46,53,31,-39,-95,35,55,-54,-71,85,55
200,1901,99,69,69,0,0,-5,-41,53,35,-58,-43,58,41,-48,-39,91,43
201,1912,0,0,0,0,0,-49,-124,38,34,-15,-95,29,31,-14,-65,43,57
202,1923,0,0,0,0,0,-51,-113,34,36,-17,-90,29,26,-16,-68,39,50
203,1935,10,70,70,0,0,16,-75,39,59,-37,-83,54,49,3,-79,70,68
204,1946,0,0,0,0,0,26,-100,24,31,-23,-94,51,27,-16,-67,43,48
205,1957,0,0,0,0,0,-51,-112,24,22,-30,-99,45,41,1,-64,56,45
206,1968,0,0,0,0,0,-44,-113,24,23,-30,-93,41,33,-1,-67,46,38
207,1980,99,61,61,0,0,-39,-108,39,52,-1,-80,63,30,-55,-111,63,58
208,1991,0,0,0,0,0,-45,-114,22,24,-38,-96,40,42,-4,-74,62,38
209,2003,0,0,0,0,0,-61,-94,66,44,4,-77,52,44,-76,-100,81,53
210,2014,0,0,0,0,0,-62,-96,42,23,-32,-75,38,21,-6,-58,60,27
211,2023,0,0,0,0,0,-21,-120,24,24,-14,-98,46,54,-1,-45,17,45
212,2034,0,0,0,0,0,-18,-118,26,23,-32,-99,76,39,-8,-59,28,59
213,2044,0,0,0,0,0,-25,-123,21,21,-29,-101,44,35,-5,-67,32,63
214,2055,0,0,0,0,0,-17,-122,22,24,-29,-97,43,32,-4,-67,35,67
215,2066,0,0,0,0,0,-35,-115,23,21,-30,-95,39,27,-3,-71,27,70
216,2078,5,57,69,0,0,-30,-120,44,61,-9,-64,25,64,-9,-92,106,32
217,2089,0,0,0,0,0,-20,-120,25,51,-3,-84,39,48,-2,-40,17,40
218,2099,0,0,0,0,0,10,-97,24,23,-22,-80,45,35,-21,-43,48,43
219,2110,0,0,0,0,0,-2,-126,25,23,-18,-104,45,59,-21,-45,24,30
220,2119,0,0,0,0,0,-16,-128,25,22,-15,-104,32,50,-10,-52,25,32
221,2131,8,64,61,0,0,-30,-127,44,57,-19,-70,28,50,-12,-110,100,63
222,2142,0,0,0,0,0,-33,-114,25,44,-7,-97,21,79,10,-74,58,21
223,2152,0,0,0,0,0,-24,-120,21,20,-30,-102,40,72,3,-40,24,28
224,2163,0,0,0,0,0,-6,-115,25,23,-44,-98,74,19,-14,-81,39,75
225,2175,12,65,61,0,0,-39,-107,44,49,-24,-65,33,62,-20,-103,94,66
226,2186,0,0,0,0,0,-26,-106,21,21,-30,-85,39,66,7,-69,47,27
227,2196,0,0,0,0,0,4,-29,31,29,-32,-53,58,26,-43,-27,34,25
228,2207,0,0,0,0,0,-10,-50,37,51,-4,-86,19,41,-48,-128,57,43
229,2218,0,0,0,0,0,-24,-45,30,44,4,-46,30,31,1,-76,33,34
230,2230,10,61,61,0,0,-67,-89,79,30,12,-79,49,36,-21,-87,87,53
231,2241,0,0,0,0,0,-44,-115,24,19,-68,-106,77,26,-19,-79,37,77
232,2253,0,0,0,0,0,-35,-21,50,27,-28,-45,43,26,-47,-65,31,28
233,2264,0,0,0,0,0,-52,-23,27,23,-26,-40,42,40,11,-72,27,62
234,2276,10,67,61,0,0,-67,-69,50,45,-23,-93,83,29,-44,-100,110,50
235,2277,0,0,0,0,0,-12,-65,23,23,-16,-40,33,38,-18,-2,37,40
236,2278,0,0,0,0,0,-11,-64,22,23,-16,-40,34,38,-20,-3,42,41
237,2279,0,0,0,0,0,-10,-63,20,22,-18,-41,36,38,-25,-1,51,36
238,2280,0,0,0,0,0,-13,-65,25,24,-15,-40,31,35,-20,-5,40,38
239,2293,0,0,0,0,0,-32,-124,47,30,-16,-96,22,46,-19,-55,40,56
240,2306,0,0,0,0,0,-44,-123,50,33,-17,-94,25,42,-20,-54,40,54
241,2320,2,56,59,0,0,1,-120,60,54,-17,-70,38,69,-8,-119,99,67
242,2333,0,0,0,0,0,-2,-125,40,52,-13,-75,25,25,-20,-51,42,51
243,2334,0,0,0,0,0,-17,-91,23,23,-17,-65,37,64,5,-1,15,14
244,2335,0,0,0,0,0,5,-68,19,9,-15,-61,44,29,-21,-33,40,33
245,2348,0,0,0,0,0,5,-68,19,9,-15,-61,44,29,-21,-33,40,33
246,2359,0,0,0,0,0,31,-69,26,25,1,-50,41,49,-45,-30,46,31
247,2370,0,0,0,0,0,39,-61,28,31,6,-39,61,39,-47,-26,54,28
248,2381,0,0,0,0,0,40,-55,27,32,6,-31,68,32,-48,-24,60,24
249,2392,0,0,0,0,0,40,-63,27,28,5,-41,56,43,-49,-25,56,26
250,2393,0,0,0,0,0,10,-59,34,44,-27,-46,41,18,-49,-63,24,38
251,2394,0,0,0,0,0,7,-64,35,41,-28,-56,39,18,-40,-46,33,36
252,2395,12,71,71,0,0,5,-120,27,24,-36,-105,49,32,-15,-84,23,84
253,2396,0,0,0,0,0,9,-104,23,22,-17,-89,29,45,-11,-45,25,45
254,2397,0,0,0,0,0,11,-95,22,21,-10,-78,28,43,-6,-37,25,38
255,2408,0,0,0,0,0,30,-69,25,25,-8,-56,46,53,-44,-34,43,35
256,2419,0,0,0,0,0,29,-93,24,26,-1,-75,40,49,-25,-45,34,40
257,2430,0,0,0,0,0,23,-106,23,24,-2,-90,34,54,-18,-39,35,41
258,2441,0,0,0,0,0,22,-116,23,25,-2,-98,28,53,-11,-48,29,48
259,2452,0,0,0,0,0,25,-117,23,26,1,-97,29,53,-6,-45,21,45
260,2463,0,0,0,0,0,22,-116,24,26,1,-96,28,51,-10,-47,28,44
261,2474,0,0,0,0,0,22,-113,23,23,1,-95,30,51,-12,-44,34,43
262,2485,0,0,0,0,0,23,-113,22,26,1,-91,29,49,-16,-44,43,42
263,2496,0,0,0,0,0,24,-113,21,26,-2,-93,30,50,-15,-43,37,43
264,2507,0,0,0,0,0,22,-115,23,23,-1,-95,31,52,-15,-41,35,39
265,2518,0,0,0,0,0,14,-120,27,26,-8,-95,51,40,-14,-60,30,59
266,2529,0,0,0,0,0,12,-121,25,25,-7,-96,66,29,-16,-68,33,66
267,2540,0,0,0,0,0,1,-125,27,25,-7,-104,65,31,-15,-73,31,73
268,2551,6,73,58,0,0,-6,-120,41,47,-17,-77,33,76,2,-121,50,48
269,2561,0,0,0,0,0,8,-119,32,43,-10,-97,27,41,-15,-58,32,57
270,2573,0,0,0,0,0,-45,-115,23,23,-27,-98,30,48,-9,-56,30,54
271,2585,0,0,0,0,0,-49,-108,22,23,-27,-94,33,49,-13,-51,32,51
272,2597,0,0,0,0,0,-29,-119,23,21,-15,-99,25,45,-15,-58,34,56
273,2608,0,0,0,0,0,-3,-123,22,22,-5,-103,26,53,-14,-52,35,52
274,2619,0,0,0,0,0,39,-90,24,24,1,-80,40,45,-13,-35,31,35
275,2630,0,0,0,0,0,43,-73,24,23,1,-68,43,45,-16,-28,40,27
276,2641,0,0,0,0,0,45,-68,22,27,-2,-66,48,51,-15,-20,37,19
277,2652,0,0,0,0,0,35,-98,26,25,2,-81,37,45,-14,-36,36,35
278,2663,0,0,0,0,0,-26,-128,41,36,-30,-93,18,90,-13,-68,19,40
279,2674,0,0,0,0,0,-34,-131,33,35,-32,-96,19,95,-13,-80,23,39
280,2686,4,71,71,0,0,-13,-98,62,32,-4,-66,38,64,19,-36,17,36
281,2697,0,0,0,0,0,19,-105,27,25,-1,-84,27,42,-7,-45,40,45
282,2706,0,0,0,0,0,-1,-69,26,25,-12,-44,51,44,0,0,0,0
283,2713,0,0,0,0,0,3,-23,25,23,-3,-2,60,29,0,0,0,0
284,2721,0,0,0,0,0,-1,-21,29,22,-2,0,56,28,0,0,0,0
285,2729,0,0,0,0,0,-3,-71,23,24,-8,-47,30,49,0,0,0,0
286,2735,0,0,0,0,0,1,-23,26,21,-1,-4,61,21,0,0,0,0
287,2742,0,0,0,0,0,1,-26,24,22,-4,-12,65,20,0,0,0,0
288,2748,0,0,0,0,0,-1,-24,30,22,-3,-4,63,18,0,0,0,0
289,2755,0,0,0,0,0,-1,-23,26,18,1,-10,58,19,0,0,0,0
290,2764,0,0,0,0,0,-1,-66,26,21,-15,-43,43,49,0,0,0,0
291,2771,0,0,0,0,0,1,-24,26,23,-3,-2,60,29,0,0,0,0
292,2779,0,0,0,0,0,-1,-23,28,24,-2,0,56,28,0,0,0,0
293,2786,0,0,0,0,0,1,-21,28,21,-3,-2,60,29,0,0,0,0
294,2794,0,0,0,0,0,-1,-22,27,22,-2,0,56,28,0,0,0,0
295,2801,0,0,0,0,0,1,-21,26,21,-3,-2,60,29,0,0,0,0
296,2809,0,0,0,0,0,-1,-25,26,15,-3,-11,57,28,0,0,0,0
297,2816,0,0,0,0,0,1,-22,28,22,-3,-2,60,29,0,0,0,0
298,2824,0,0,0,0,0,1,-21,25,21,-3,-2,60,29,0,0,0,0
299,2833,0,0,0,0,0,-1,-67,25,22,-24,-45,45,45,18,-14,26,21
300,2840,0,0,0,0,0,1,-22,26,21,-3,-2,60,29,0,0,0,0
301,2848,0,0,0,0,0,-1,-22,28,21,-3,-2,60,29,0,0,0,0
302,2857,0,0,0,0,0,-1,-69,26,25,-19,-48,47,48,16,-19,26,21
303,2864,0,0,0,0,0,1,-22,26,19,-3,-5,62,27,0,0,0,0
304,2872,0,0,0,0,0,-2,-24,27,23,-1,-3,64,24,0,0,0,0
305,2881,0,0,0,0,0,-1,-69,26,25,-12,-44,51,44,0,0,0,0
306,2888,0,0,0,0,0,1,-22,27,23,-5,-1,62,25,0,0,0,0
307,2896,0,0,0,0,0,-2,-22,28,24,-1,1,57,26,0,0,0,0
308,2903,0,0,0,0,0,-1,-21,29,21,-3,-2,60,29,0,0,0,0
309,2911,0,0,0,0,0,-2,-22,29,22,-3,-2,60,29,0,0,0,0
310,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,2950,0,0,0,0,0,-110,-135,245,95,-41,-209,47,77,-341,-139,235,30
314,2953,0,0,0,0,0,-112,-133,243,89,-33,-210,40,80,-323,-140,212,40
315,2956,0,0,0,0,0,-110,-136,243,92,-36,-215,40,81,-348,-140,242,30
316,2959,0,0,0,0,0,-113,-135,244,92,-35,-212,41,79,-338,-140,231,30
317,2963,0,0,0,0,0,-112,-163,142,105,-17,-129,144,100,-11,-222,38,77
