frame,c0,c1,c2,c3,c4,c5,c6
,220,-1,10,0,0,10,10
,170,-3,49,0,0,10,10
,60,30,53,0,0,10,10
,51,48,54,0,9,10,10
,225,0,5,0,0,10,10
,223,0,10,0,0,10,10
,170,-3,49,0,0,10,10
,60,30,53,0,0,10,10
,51,48,54,0,9,10,10
,225,0,5,0,0,10,10
,224,0,7,0,0,10,10
,170,-3,49,0,0,10,10
,60,30,53,0,0,10,10
,51,48,54,0,9,10,10
,200,0,0,0,0,10,10
,222,6,9,0,0,10,10
,170,-3,49,0,0,10,10
,60,18,53,0,0,10,10
,51,48,54,0,9,10,10
,200,0,0,0,0,10,10
,221,4,9,0,0,10,10
,170,-3,49,0,0,10,10
,60,18,53,0,0,10,10
,51,48,54,0,9,10,10
,200,0,0,0,0,10,10
,219,6,9,0,0,10,10
,170,-3,49,0,0,10,10
,60,18,53,0,0,10,10
,51,48,54,0,9,10,10
,200,0,0,0,0,10,10
,220,-1,9,0,0,10,10
,170,-3,49,0,0,10,10
,60,30,53,0,0,10,10
,51,48,54,0,9,10,10
,200,0,0,0,0,10,10
,223,0,9,0,0,10,10
,170,-3,49,0,0,10,10
,60,30,53,0,0,10,10
,51,48,54,0,9,10,10
,200,0,0,0,0,10,10
,224,1,5,0,0,10,10
,170,-3,49,0,0,10,10
,60,30,53,0,0,10,10
,51,48,54,0,9,10,10
,18,-364,67,0,0,10,10
,185,-299,113,0,0,10,10
,206,-414,72,0,0,10,10
,204,-417,74,0,0,10,10
,207,-417,73,0,0,10,10
,208,-417,73,0,0,10,10
,205,-417,64,0,0,10,10
,225,-410,59,0,0,10,10
,222,-404,65,0,0,10,10
,225,-410,59,0,0,10,10
,221,-406,65,0,0,10,10
,225,-410,59,0,0,10,10
,219,-404,65,0,0,10,10
,225,-410,59,0,0,10,10
,220,-407,65,0,0,10,10
,225,-410,59,0,0,10,10
,223,-407,65,0,0,10,10
,225,-410,59,0,0,10,10
,224,-410,61,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-32,-139,0,0,10,10
,163,-46,-132,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-32,-139,0,0,10,10
,222,-25,-134,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-32,-139,0,0,10,10
,221,-27,-134,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-31,-139,0,0,10,10
,161,-52,-140,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-32,-139,0,0,10,10
,220,-31,-134,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-32,-139,0,0,10,10
,223,-30,-135,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,86,-58,-165,0,0,10,10
,68,-32,-139,0,0,10,10
,224,-31,-138,0,0,10,10
,60,-51,-157,0,0,10,10
,53,-33,-157,0,0,10,10
,114,-432,-264,0,0,10,10
,86,-257,-165,0,0,10,10
,86,-58,-165,0,0,10,10
,86,145,-165,0,0,10,10
,36,-120,-129,0,0,10,10
,36,82,-129,0,0,10,10
,67,388,-282,0,0,10,10
,211,-91,8,0,0,10,10
,86,-58,-165,0,0,10,10
,118,-43,-154,0,0,10,10
,105,-54,-74,0,0,10,10
,86,-58,-165,0,0,10,10
,122,-50,-159,0,0,10,10
,104,-54,-73,0,0,10,10
,114,-432,-264,0,0,10,10
,86,-237,-165,0,0,10,10
,86,-67,-165,0,0,10,10
,86,104,-165,0,0,10,10
,36,-113,-129,0,0,10,10
,36,57,-129,0,0,10,10
,67,388,-282,0,0,10,10
,211,-91,8,0,0,10,10
,86,-406,-165,0,0,10,10
,86,275,-165,0,0,10,10
,36,-283,-129,0,0,10,10
,36,229,-129,0,0,10,10
,114,-432,-264,0,0,10,10
,86,-340,-165,0,0,10,10
,86,-155,-165,0,0,10,10
,86,28,-165,0,0,10,10
,36,-208,-129,0,0,10,10
,36,-25,-129,0,0,10,10
,67,388,-282,0,0,10,10
,211,-91,8,0,0,10,10
,36,162,-129,0,0,10,10
,86,219,-165,0,0,10,10
,63,-40,-89,0,0,10,10
,224,-31,-81,0,0,10,10
,108,-209,-166,0,0,10,10
