id,name,gubun,gubun_id,img,step,need_money,toss,need_amount,need_amount_taiwan,only1_txt,only1_limit,only1_period,only1_period_gubun,pid,value_per,p1_gubun,p1_amount,p2_gubun,p2_amount,p3_gubun,p3_amount,p4_gubun,p4_amount,p5_gubun,p5_amount,p6_gubun,p6_amount,p7_gubun,p7_amount,p8_gubun,p_amount,cont,txt
182,일일 패키지 3,900,2,0,3,0,6600,6000,33,,1,1,day,beeorbit.kpop_dailypackage_3,300,3,1000,31,20,8,50,11,50,,,,,,,,,0,294
183,일일 패키지 4,900,3,0,4,0,13200,12000,120,,1,1,day,beeorbit.kpop_dailypackage_4,400,3,1500,31,40,8,200,11,100,,,,,,,,,0,294
184,주간 패키지,901,0,0,1,0,0,0,0,,1,1,week,beeorbit.kpop_weeklypackage_free,,2,4000,,,,,,,,,,,,,,,0,295
185,주간 패키지 2,901,1,0,2,0,1650,1500,33,,1,1,week,beeorbit.kpop_weeklypackage_2,200,3,250,31,7,,,,,,,,,,,,,0,295
186,주간 패키지 3,901,2,0,3,0,6600,6000,120,,1,1,week,beeorbit.kpop_weeklypackage_3,400,3,1000,31,30,8,50,11,50,,,,,,,,,0,295
187,주간 패키지 4,901,3,0,4,0,13200,12000,240,,1,1,week,beeorbit.kpop_weeklypackage_4,600,3,2000,31,60,8,200,11,50,,,,,,,,,0,295
188,주간 패키지 5,901,4,0,5,0,16500,15000,240,,1,1,week,beeorbit.kpop_weeklypackage_5,800,3,2500,31,80,8,250,11,70,,,,,,,,,0,295
189,주간 패키지 6,901,5,0,6,0,42900,39000,320,,1,1,week,beeorbit.kpop_weeklypackage_6,1200,3,5000,31,160,8,500,11,100,,,,,,,,,0,295
190,월간 패키지,902,0,0,1,0,0,0,0,,1,1,month,beeorbit.kpop_monthlypackage_free,,2,5000,,,,,,,,,,,,,,,0,296
191,월간 패키지 2,902,1,0,2,0,1650,1500,33,,1,1,month,beeorbit.kpop_monthlypackage_2,400,3,300,31,10,,,,,,,,,,,,,0,296
192,월간 패키지 3,902,2,0,3,0,6600,6000,120,,1,1,month,beeorbit.kpop_monthlypackage_3,600,3,1200,31,40,8,50,14,50,,,,,,,,,0,296
193,월간 패키지 4,902,3,0,4,0,13200,12000,240,,1,1,month,beeorbit.kpop_monthlypackage_4,800,3,2500,31,80,8,200,14,50,,,,,,,,,0,296
194,월간 패키지 5,902,4,0,5,0,16500,15000,320,,1,1,month,beeorbit.kpop_monthlypackage_5,1200,3,3000,31,110,8,250,14,70,,,,,,,,,0,296
195,월간 패키지 6,902,5,0,6,0,42900,39000,790,,1,1,month,beeorbit.kpop_monthlypackage_6,1500,3,6000,31,220,8,500,14,100,,,,,,,,,0,296
196,월간 출석 패키지,999,16,0,0,3,16500,15000,320,,1,1,month,,1000,82,30일,92,매일 우편으로 10000다이아,92,1,,,,,,,,,,,0,0
197,월간 출석 패키지 2,999,17,0,0,3,42900,39000,790,,1,1,month,,1100,82,30일,92,매일 우편으로 30000다이아,11,1300,,,,,,,,,,,0,0
198,레벨업 패스,999,0,0,0,3,8250,7500,160,000시 00분 00초 후 종료,1,0,,,1000,82,이번달,88,패스 초기화,89,보상 x2,10,5000,,,,,,,,,0,0
199,영웅 수집 패스,999,1,0,0,3,8250,7500,160,000시 00분 00초 후 종료,1,0,,,1000,82,이번달,88,패스 초기화,89,보상 x2,10,5000,,,,,,,,,0,0
200,스테이지 패스,999,2,0,0,3,8250,7500,160,000시 00분 00초 후 종료,1,0,,,1000,82,이번달,88,패스 초기화,89,보상 x2,10,5000,,,,,,,,,0,0
201,던전 패스,999,3,0,0,3,8250,7500,160,000시 00분 00초 후 종료,1,0,,,1000,82,이번달,88,패스 초기화,89,보상 x2,10,5000,,,,,,,,,0,0
202,보물 수집 패스,999,4,0,0,3,8250,7500,160,000시 00분 00초 후 종료,1,0,,,1000,82,이번달,88,패스 초기화,89,보상 x2,10,5000,,,,,,,,,0,0
203,금망치,50,1,0,0,2,5500,5000,80,1/1 구매 가능,1,1,day,,,25,5,,,,,,,,,,,,,,,0,0
204,실버엔진,50,2,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,49,5,,,,,,,,,,,,,,,0,0
205,특수무기상자,50,3,0,0,2,3850,3500,80,1/1 구매 가능,1,1,day,,,29,5,,,,,,,,,,,,,,,0,0
206,특수오라상자,50,4,0,0,2,3850,3500,80,1/1 구매 가능,1,1,day,,,30,5,,,,,,,,,,,,,,,0,0
207,강화석상자,50,5,0,0,2,5500,5000,80,1/1 구매 가능,1,1,day,,,31,5,,,,,,,,,,,,,,,0,0
208,부러진검,50,6,0,0,2,2750,2500,80,1/1 구매 가능,1,1,day,,,32,10,,,,,,,,,,,,,,,0,0
209,깨진오라석,50,7,0,0,2,2750,2500,80,1/1 구매 가능,1,1,day,,,33,10,,,,,,,,,,,,,,,0,0
210,주사위,50,8,0,0,2,1100,1000,80,1/1 구매 가능,1,1,day,,,18,20,,,,,,,,,,,,,,,0,0
211,쇠망치,50,9,0,0,2,1100,1000,80,1/1 구매 가능,1,1,day,,,16,20,,,,,,,,,,,,,,,0,0
212,스킬북,50,10,0,0,2,1100,1000,80,1/1 구매 가능,1,1,day,,,14,20,,,,,,,,,,,,,,,0,0
213,망치고기,50,11,0,0,2,1100,1000,80,1/1 구매 가능,1,1,day,,,11,20,,,,,,,,,,,,,,,0,0
214,성장알약,50,12,0,0,2,1100,1000,80,1/1 구매 가능,1,1,day,,,8,20,,,,,,,,,,,,,,,0,0
215,월드투어티켓,50,13,0,0,2,770,700,80,1/1 구매 가능,1,1,day,,,26,1,,,,,,,,,,,,,,,0,0
216,보라열쇠,50,14,0,0,2,770,700,80,1/1 구매 가능,1,1,day,,,20,1,,,,,,,,,,,,,,,0,0
217,회색열쇠,50,15,0,0,2,770,700,80,1/1 구매 가능,1,1,day,,,21,1,,,,,,,,,,,,,,,0,0
218,파란열쇠,50,16,0,0,2,770,700,80,1/1 구매 가능,1,1,day,,,22,1,,,,,,,,,,,,,,,0,0
219,초록열쇠,50,17,0,0,2,770,700,80,1/1 구매 가능,1,1,day,,,23,1,,,,,,,,,,,,,,,0,0
220,별,50,18,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,24,5,,,,,,,,,,,,,,,0,0
221,F등급 티켓,50,19,0,0,2,2200,2000,80,1/1 구매 가능,1,1,day,,,37,100,,,,,,,,,,,,,,,0,0
222,E등급 티켓,50,20,0,0,2,5500,5000,80,1/1 구매 가능,1,1,day,,,38,50,,,,,,,,,,,,,,,0,0
223,D등급 티켓,50,21,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,39,30,,,,,,,,,,,,,,,0,0
224,C등급 티켓,50,22,0,0,2,22000,20000,80,1/1 구매 가능,1,1,day,,,40,10,,,,,,,,,,,,,,,0,0
225,B등급 티켓,50,23,0,0,2,33000,30000,80,1/1 구매 가능,1,1,day,,,41,5,,,,,,,,,,,,,,,0,0
226,A등급 티켓,50,24,0,0,2,44000,40000,80,1/1 구매 가능,1,1,day,,,42,3,,,,,,,,,,,,,,,0,0
227,S등급 티켓,50,25,0,0,3,5500,5000,80,1/1 구매 가능,1,1,day,,,43,1,,,,,,,,,,,,,,,0,0
228,특수무기상자,50,26,0,0,3,770,700,80,1/1 구매 가능,1,1,day,,,46,1,,,,,,,,,,,,,,,0,0
229,오라상자,50,27,0,0,3,770,700,80,1/1 구매 가능,1,1,day,,,47,1,,,,,,,,,,,,,,,0,0
230,1등급 제작석,50,28,0,0,2,1100,1000,80,1/1 구매 가능,1,1,day,,,101,400,,,,,,,,,,,,,,,0,0
231,2등급 제작석,50,29,0,0,2,2200,2000,80,1/1 구매 가능,1,1,day,,,102,250,,,,,,,,,,,,,,,0,0
232,3등급 제작석,50,30,0,0,2,3300,3000,80,1/1 구매 가능,1,1,day,,,103,150,,,,,,,,,,,,,,,0,0
233,4등급 제작석,50,31,0,0,2,4400,4000,80,1/1 구매 가능,1,1,day,,,104,100,,,,,,,,,,,,,,,0,0
234,5등급 제작석,50,32,0,0,2,5500,5000,80,1/1 구매 가능,1,1,day,,,105,70,,,,,,,,,,,,,,,0,0
235,6등급 제작석,50,33,0,0,2,6600,6000,80,1/1 구매 가능,1,1,day,,,106,40,,,,,,,,,,,,,,,0,0
236,7등급 제작석,50,34,0,0,2,7700,7000,80,1/1 구매 가능,1,1,day,,,107,20,,,,,,,,,,,,,,,0,0
237,8등급 제작석,50,35,0,0,2,8800,8000,80,1/1 구매 가능,1,1,day,,,108,15,,,,,,,,,,,,,,,0,0
238,9등급 제작석,50,36,0,0,2,9900,9000,80,1/1 구매 가능,1,1,day,,,109,10,,,,,,,,,,,,,,,0,0
239,10등급 제작석,50,37,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,110,5,,,,,,,,,,,,,,,0,0
240,골드엔진,50,38,0,0,3,110,100,80,1/1 구매 가능,1,1,day,,,50,5,,,,,,,,,,,,,,,0,0
241,금망치,51,1,0,0,2,55000,50000,80,1/1 구매 가능,1,1,day,,,25,50,,,,,,,,,,,,,,,0,0
242,실버엔진,51,2,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,49,5,,,,,,,,,,,,,,,0,0
243,특수무기상자,51,3,0,0,2,38500,35000,80,1/1 구매 가능,1,1,day,,,29,50,,,,,,,,,,,,,,,0,0
244,특수오라상자,51,4,0,0,2,38500,35000,80,1/1 구매 가능,1,1,day,,,30,50,,,,,,,,,,,,,,,0,0
245,강화석상자,51,5,0,0,2,55000,50000,80,1/1 구매 가능,1,1,day,,,31,50,,,,,,,,,,,,,,,0,0
246,부러진검,51,6,0,0,2,27500,25000,80,1/1 구매 가능,1,1,day,,,32,100,,,,,,,,,,,,,,,0,0
247,깨진오라석,51,7,0,0,2,27500,25000,80,1/1 구매 가능,1,1,day,,,33,100,,,,,,,,,,,,,,,0,0
248,주사위,51,8,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,18,200,,,,,,,,,,,,,,,0,0
249,쇠망치,51,9,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,16,200,,,,,,,,,,,,,,,0,0
250,스킬북,51,10,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,14,200,,,,,,,,,,,,,,,0,0
251,망치고기,51,11,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,11,200,,,,,,,,,,,,,,,0,0
252,성장알약,51,12,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,8,200,,,,,,,,,,,,,,,0,0
253,월드투어티켓,51,13,0,0,2,2200,2000,80,1/1 구매 가능,1,1,day,,,26,3,,,,,,,,,,,,,,,0,0
254,보라열쇠,51,14,0,0,2,3850,3500,80,1/1 구매 가능,1,1,day,,,20,5,,,,,,,,,,,,,,,0,0
255,회색열쇠,51,15,0,0,2,3850,3500,80,1/1 구매 가능,1,1,day,,,21,5,,,,,,,,,,,,,,,0,0
256,파란열쇠,51,16,0,0,2,3850,3500,80,1/1 구매 가능,1,1,day,,,22,5,,,,,,,,,,,,,,,0,0
257,초록열쇠,51,17,0,0,2,3850,3500,80,1/1 구매 가능,1,1,day,,,23,5,,,,,,,,,,,,,,,0,0
258,별,51,18,0,0,2,55000,50000,80,1/1 구매 가능,1,1,day,,,24,25,,,,,,,,,,,,,,,0,0
259,F등급 티켓,51,19,0,0,2,7700,7000,80,1/1 구매 가능,1,1,day,,,37,500,,,,,,,,,,,,,,,0,0
260,E등급 티켓,51,20,0,0,2,5500,5000,80,1/1 구매 가능,1,1,day,,,38,250,,,,,,,,,,,,,,,0,0
261,D등급 티켓,51,21,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,39,150,,,,,,,,,,,,,,,0,0
262,C등급 티켓,51,22,0,0,2,22000,20000,80,1/1 구매 가능,1,1,day,,,40,50,,,,,,,,,,,,,,,0,0
263,B등급 티켓,51,23,0,0,2,33000,30000,80,1/1 구매 가능,1,1,day,,,41,10,,,,,,,,,,,,,,,0,0
264,A등급 티켓,51,24,0,0,2,44000,40000,80,1/1 구매 가능,1,1,day,,,42,3,,,,,,,,,,,,,,,0,0
265,S등급 티켓,51,25,0,0,3,5500,5000,80,1/1 구매 가능,1,1,day,,,43,1,,,,,,,,,,,,,,,0,0
266,특수무기상자,51,26,0,0,3,2200,2000,80,1/1 구매 가능,1,1,day,,,46,3,,,,,,,,,,,,,,,0,0
267,오라상자,51,27,0,0,3,2200,2000,80,1/1 구매 가능,1,1,day,,,47,3,,,,,,,,,,,,,,,0,0
268,1등급 제작석,51,28,0,0,2,2200,2000,80,1/1 구매 가능,1,1,day,,,101,800,,,,,,,,,,,,,,,0,0
269,2등급 제작석,51,29,0,0,2,4400,4000,80,1/1 구매 가능,1,1,day,,,102,500,,,,,,,,,,,,,,,0,0
270,3등급 제작석,51,30,0,0,2,6600,6000,80,1/1 구매 가능,1,1,day,,,103,300,,,,,,,,,,,,,,,0,0
271,4등급 제작석,51,31,0,0,2,8800,8000,80,1/1 구매 가능,1,1,day,,,104,200,,,,,,,,,,,,,,,0,0
272,5등급 제작석,51,32,0,0,2,11000,10000,80,1/1 구매 가능,1,1,day,,,105,140,,,,,,,,,,,,,,,0,0
273,6등급 제작석,51,33,0,0,2,13200,12000,80,1/1 구매 가능,1,1,day,,,106,80,,,,,,,,,,,,,,,0,0
274,7등급 제작석,51,34,0,0,2,15400,14000,80,1/1 구매 가능,1,1,day,,,107,40,,,,,,,,,,,,,,,0,0
275,8등급 제작석,51,35,0,0,2,17600,16000,80,1/1 구매 가능,1,1,day,,,108,30,,,,,,,,,,,,,,,0,0
276,9등급 제작석,51,36,0,0,2,19800,18000,80,1/1 구매 가능,1,1,day,,,109,20,,,,,,,,,,,,,,,0,0
277,10등급 제작석,51,37,0,0,2,22000,20000,80,1/1 구매 가능,1,1,day,,,110,10,,,,,,,,,,,,,,,0,0
278,골드엔진,51,38,0,0,3,550,500,80,1/1 구매 가능,1,1,day,,,50,25,,,,,,,,,,,,,,,0,0
279,아리아 패키지,500,0,0,0,0,33000,30000,80,오직 1회 구매,1,0,,beeorbit.kpop_aria,,1002,1,3,5000,29,50,25,50,,,,,,,,,0,270
280,리나 패키지,500,1,0,0,0,33000,30000,80,오직 1회 구매,1,0,,beeorbit.kpop_lina,,1003,1,3,5000,29,50,25,50,,,,,,,,,0,271
281,헬렌 패키지,500,2,0,0,0,33000,30000,80,오직 1회 구매,1,0,,beeorbit.kpop_helen,,1004,1,3,5000,29,50,25,50,,,,,,,,,0,272
282,셀리아 패키지,500,3,0,0,0,33000,30000,80,오직 1회 구매,1,0,,beeorbit.kpop_celia,,1005,1,3,5000,29,50,25,50,,,,,,,,,0,273
283,펭 패키지,500,4,0,0,0,44000,40000,80,오직 1회 구매,1,0,,beeorbit.kpop_peng,,1006,1,3,7000,29,80,25,80,,,,,,,,,0,274
284,시리아 패키지,500,5,0,0,0,44000,40000,80,오직 1회 구매,1,0,,beeorbit.kpop_syria,,1007,1,3,7000,29,80,25,80,,,,,,,,,0,275
285,나이다 패키지,500,6,0,0,0,44000,40000,80,오직 1회 구매,1,0,,beeorbit.kpop_naida,,1008,1,3,7000,29,80,25,80,,,,,,,,,0,276
286,원더 패키지,500,7,0,0,0,55000,50000,80,오직 1회 구매,1,0,,beeorbit.kpop_wonder,,1009,1,3,10000,29,100,25,100,,,,,,,,,0,277
287,뽑기 패키지,300,0,0,0,0,27500,25000,0,오직 1회 구매,1,0,,beeorbit.kpop_kuji,,44,30,3,1000,46,3,47,3,,,,,,,,,548,318
288,뽑기 코인 5,300,1,0,0,3,550,500,0,,0,0,,,,44,5,,,,,,,,,,,,,,,0,0
289,뽑기 코인 25,300,2,0,0,3,3300,3000,0,,0,0,,,,44,25,,,,,,,,,,,,,,,0,0
290,뽑기 코인 75,300,3,0,0,3,8250,7500,0,,0,0,,,,44,50,,,,,,,,,,,,,,,0,0
291,마블 패키지,301,0,0,0,0,27500,25000,0,오직 1회 구매,1,0,,beeorbit.kpop_marble,,45,30,3,1000,46,3,47,3,,,,,,,,,549,319
292,마블 코인 5,301,1,0,0,3,550,500,0,,0,0,,,,45,5,,,,,,,,,,,,,,,0,0
293,마블 코인 25,301,2,0,0,3,3300,3000,0,,0,0,,,,45,25,,,,,,,,,,,,,,,0,0
294,마블 코인 75,301,3,0,0,3,8250,7500,0,,0,0,,,,45,50,,,,,,,,,,,,,,,0,0
