index,name,prefab,dmg,cost,upDmg,grade,tierNum,tier,delay,criChance,criDmg,temp,special,cooltime,time,specialValue,specialUpValue,have: list<int>,haveValue: list<float>,haveUpValue: list<float>,haveStarUpValue: list<float>
11,11,10011,6123,22,61,11,1,3,1,10,150,,0,0,0,0,0,"[2,2,32,0]","[30,20,30,0]","[0.3,0.2,0.3,0]","[30,20,30,0]"
12,12,10012,9001,24,90,12,2,3,1,10,150,,0,0,0,0,0,"[5,2,33,0]","[40,20,30,0]","[0.4,0.2,0.3,0]","[40,20,30,0]"
13,13,10013,13231,26,132,13,3,3,1,10,150,,0,0,0,0,0,"[11,2,17,0]","[1,20,1,0]","[0.01,0.2,0.01,0]","[1,20,1,0]"
14,14,10014,19450,28,195,14,4,3,1,10,150,,0,0,0,0,0,"[8,2,32,0]","[60,20,50,0]","[0.6,0.2,0.5,0]","[60,20,50,0]"
15,15,10015,28592,30,286,15,5,3,1,10,150,,0,0,0,0,0,"[9,2,33,0]","[60,20,50,0]","[0.6,0.2,0.5,0]","[60,20,50,0]"
16,16,10016,42030,32,420,16,1,4,1,10,150,,0,0,0,0,0,"[2,2,32,5]","[40,30,50,40]","[0.4,0.3,0.5,0.4]","[40,30,50,40]"
17,17,10017,61784,34,618,17,2,4,1,10,150,,0,0,0,0,0,"[5,2,33,2]","[60,30,50,30]","[0.6,0.3,0.5,0.3]","[60,30,50,30]"
18,18,10018,90822,36,908,18,3,4,1,10,150,,0,0,0,0,0,"[11,2,17,8]","[2,30,3,50]","[0.02,0.3,0.03,0.5]","[2,30,3,50]"
19,19,10019,133508,38,1335,19,4,4,1,10,150,,0,0,0,0,0,"[8,2,32,9]","[80,30,50,50]","[0.8,0.3,0.5,0.5]","[80,30,50,50]"
20,20,10020,196257,40,1963,20,5,4,1,10,150,,0,0,0,0,0,"[9,2,33,11]","[80,30,50,1]","[0.8,0.3,0.5,0.01]","[80,30,50,1]"
21,21,10021,288498,42,2885,21,1,5,1,10,150,,0,0,0,0,0,"[2,2,32,5]","[50,35,70,50]","[0.5,0.35,0.7,0.5]","[50,35,70,50]"
22,22,10022,424092,44,4241,22,2,5,1,10,150,,0,0,0,0,0,"[5,2,33,2]","[70,35,70,30]","[0.7,0.35,0.7,0.3]","[70,35,70,30]"
23,23,10023,623415,46,6234,23,3,5,1,10,150,,0,0,0,0,0,"[11,2,17,8]","[3,35,5,70]","[0.03,0.35,0.05,0.7]","[3,35,5,70]"
24,24,10024,916420,48,9164,24,4,5,1,10,150,,0,0,0,0,0,"[8,2,32,9]","[100,35,70,70]","[1,0.35,0.7,0.7]","[100,35,70,70]"
25,25,10025,1347137,50,13471,25,5,5,1,10,150,,0,0,0,0,0,"[9,2,33,11]","[100,35,70,1]","[1,0.35,0.7,0.01]","[100,35,70,1]"
26,26,10026,1980291,52,19803,26,1,6,1,10,150,,0,0,0,0,0,"[2,2,32,5]","[70,40,100,70]","[0.7,0.4,1,0.7]","[70,40,100,70]"
27,27,10027,2911028,54,29110,27,2,6,1,10,150,,0,0,0,0,0,"[5,2,33,2]","[100,40,100,35]","[1,0.4,1,0.35]","[100,40,100,35]"
28,28,10028,4279211,56,42792,28,3,6,1,10,150,,0,0,0,0,0,"[11,2,17,8]","[4,40,7,100]","[0.04,0.4,0.07,1]","[4,40,7,100]"
29,29,10029,6290440,58,62904,29,4,6,1,10,150,,0,0,0,0,0,"[8,2,32,9]","[120,40,100,100]","[1.2,0.4,1,1]","[120,40,100,100]"
30,30,10030,9246947,60,92469,30,5,6,1,10,150,,0,0,0,0,0,"[9,2,33,11]","[120,40,100,2]","[1.2,0.4,1,0.02]","[120,40,100,2]"
31,31,10031,29373140,100,293731,31,3,7,1,10,150,5초 동안 최종피해량 증가,33,13,5,100,20,"[2,32,33,17]","[100,150,150,10]","[1,1.5,1.5,0.1]","[100,150,150,10]"
32,32,10032,29373140,100,293731,31,3,7,1,10,150,스킬 쿨타임 n초 감소,34,15,0,2.5,1.5,"[2,12,8,9]","[100,5,150,150]","[1,0.05,1.5,1.5]","[100,5,150,150]"
33,33,10033,29373140,100,293731,31,3,7,1,10,150,동료 스킬 쿨타임 감소,35,15,0,2.5,1.5,"[2,5,33,32]","[100,100,150,150]","[1,1,1.5,1.5]","[100,100,150,150]"
34,34,10034,29373140,100,293731,31,3,7,1,10,150,n초간 회피확률 증가,36,10,5,5,3,"[2,8,9,5]","[100,150,150,100]","[1,1.5,1.5,1]","[100,150,150,100]"
35,35,10035,29373140,100,293731,31,3,7,1,10,150,n초 동안 재료 획득량 증가,37,10,5,20,6,"[2,11,5,32]","[100,5,100,150]","[1,0.05,1,1.5]","[100,5,100,150]"
36,36,10036,29373140,100,293731,31,3,7,1,10,150,n초 동안 골드 획득량 증가,38,10,5,20,6,"[2,32,11,5]","[100,150,5,100]","[1,1.5,0.05,1]","[100,150,5,100]"
37,37,10037,29373140,100,293731,31,3,7,1,10,150,강타(동료들의 공격력을 합친 데미지를 가함),39,8,0,500,100,"[2,11,32,33]","[100,5,150,150]","[1,0.05,1.5,1.5]","[100,5,150,150]"
38,38,10038,29373140,100,293731,31,3,7,1,10,150,n초 동안 공격속도 증가,40,13,5,15,17,"[2,5,8,17]","[100,100,150,10]","[1,1,1.5,0.1]","[100,100,150,10]"
39,39,10039,29373140,100,293731,31,3,7,1,10,150,n초 동안 치명타피해 증가,41,10,5,500,100,"[2,12,5,8]","[100,5,100,150]","[1,0.05,1,1.5]","[100,5,100,150]"
40,40,10040,29373140,100,293731,31,3,7,1,10,150,n초 동안 치명타 확률  n% 증가,42,13,5,5,3,"[2,5,32,33]","[100,100,150,150]","[1,1,1.5,1.5]","[100,100,150,150]"
