name,TBL_EVENT_STAGE,NeedStage,NormalRewardType,NormalRewardCount,SpecialRewardType,SpecialRewardCount
TBL_EVENT_STAGE_DATA24,스테이지 클리어 이벤트 I,250,Ruby,12500.0,Ruby,25000.0
TBL_EVENT_STAGE_DATA25,스테이지 클리어 이벤트 II,260,Ruby,13000.0,Ruby,26000.0
TBL_EVENT_STAGE_DATA26,스테이지 클리어 이벤트 II,270,Ruby,13500.0,Ruby,27000.0
TBL_EVENT_STAGE_DATA27,스테이지 클리어 이벤트 II,280,Ruby,14000.0,Ruby,28000.0
TBL_EVENT_STAGE_DATA28,스테이지 클리어 이벤트 II,290,Ruby,14500.0,Ruby,29000.0
TBL_EVENT_STAGE_DATA29,스테이지 클리어 이벤트 II,300,Ruby,15000.0,Ruby,30000.0
TBL_EVENT_STAGE_DATA30,스테이지 클리어 이벤트 II,310,Ruby,15500.0,Ruby,31000.0
TBL_EVENT_STAGE_DATA31,스테이지 클리어 이벤트 II,320,Ruby,16000.0,Ruby,32000.0
TBL_EVENT_STAGE_DATA32,스테이지 클리어 이벤트 II,330,Ruby,16500.0,Ruby,33000.0
TBL_EVENT_STAGE_DATA33,스테이지 클리어 이벤트 II,340,Ruby,17000.0,Ruby,34000.0
TBL_EVENT_STAGE_DATA34,스테이지 클리어 이벤트 II,350,Ruby,17500.0,Ruby,35000.0
TBL_EVENT_STAGE_DATA35,스테이지 클리어 이벤트 II,360,Ruby,18000.0,Ruby,36000.0
TBL_EVENT_STAGE_DATA36,스테이지 클리어 이벤트 II,370,Ruby,18500.0,Ruby,37000.0
TBL_EVENT_STAGE_DATA37,스테이지 클리어 이벤트 II,380,Ruby,19000.0,Ruby,38000.0
TBL_EVENT_STAGE_DATA38,스테이지 클리어 이벤트 II,390,Ruby,19500.0,Ruby,39000.0
TBL_EVENT_STAGE_DATA39,스테이지 클리어 이벤트 II,400,Ruby,20000.0,Ruby,40000.0
TBL_EVENT_STAGE_DATA40,스테이지 클리어 이벤트 II,410,Ruby,20500.0,Ruby,41000.0
TBL_EVENT_STAGE_DATA41,스테이지 클리어 이벤트 II,420,Ruby,21000.0,Ruby,42000.0
TBL_EVENT_STAGE_DATA42,스테이지 클리어 이벤트 II,430,Ruby,21500.0,Ruby,43000.0
TBL_EVENT_STAGE_DATA43,스테이지 클리어 이벤트 II,440,Ruby,22000.0,Ruby,44000.0
TBL_EVENT_STAGE_DATA44,스테이지 클리어 이벤트 II,450,Ruby,22500.0,Ruby,45000.0
TBL_EVENT_STAGE_DATA45,스테이지 클리어 이벤트 II,460,Ruby,23000.0,Ruby,46000.0
TBL_EVENT_STAGE_DATA46,스테이지 클리어 이벤트 II,470,Ruby,23500.0,Ruby,47000.0
TBL_EVENT_STAGE_DATA47,스테이지 클리어 이벤트 II,480,Ruby,24000.0,Ruby,48000.0
TBL_EVENT_STAGE_DATA48,스테이지 클리어 이벤트 II,490,Ruby,24500.0,Ruby,49000.0
TBL_EVENT_STAGE_DATA49,스테이지 클리어 이벤트 II,500,Ruby,25000.0,Ruby,50000.0
TBL_EVENT_STAGE_DATA50,스테이지 클리어 이벤트 III,510,Ruby,25500.0,Ruby,26000.0
TBL_EVENT_STAGE_DATA51,스테이지 클리어 이벤트 III,520,Ruby,26000.0,Ruby,27000.0
TBL_EVENT_STAGE_DATA52,스테이지 클리어 이벤트 III,530,Ruby,26500.0,Ruby,28000.0
TBL_EVENT_STAGE_DATA53,스테이지 클리어 이벤트 III,540,Ruby,27000.0,Ruby,29000.0
TBL_EVENT_STAGE_DATA54,스테이지 클리어 이벤트 III,550,Ruby,27500.0,Ruby,30000.0
TBL_EVENT_STAGE_DATA55,스테이지 클리어 이벤트 III,560,Ruby,28000.0,Ruby,31000.0
TBL_EVENT_STAGE_DATA56,스테이지 클리어 이벤트 III,570,Ruby,28500.0,Ruby,32000.0
TBL_EVENT_STAGE_DATA57,스테이지 클리어 이벤트 III,580,Ruby,29000.0,Ruby,33000.0
TBL_EVENT_STAGE_DATA58,스테이지 클리어 이벤트 III,590,Ruby,29500.0,Ruby,34000.0
TBL_EVENT_STAGE_DATA59,스테이지 클리어 이벤트 III,600,Ruby,30000.0,Ruby,35000.0
TBL_EVENT_STAGE_DATA60,스테이지 클리어 이벤트 III,610,Ruby,30500.0,Ruby,36000.0
TBL_EVENT_STAGE_DATA61,스테이지 클리어 이벤트 III,620,Ruby,31000.0,Ruby,37000.0
TBL_EVENT_STAGE_DATA62,스테이지 클리어 이벤트 III,630,Ruby,31500.0,Ruby,38000.0
TBL_EVENT_STAGE_DATA63,스테이지 클리어 이벤트 III,640,Ruby,32000.0,Ruby,39000.0
TBL_EVENT_STAGE_DATA64,스테이지 클리어 이벤트 III,650,Ruby,32500.0,Ruby,40000.0
TBL_EVENT_STAGE_DATA65,스테이지 클리어 이벤트 III,660,Ruby,33000.0,Ruby,41000.0
TBL_EVENT_STAGE_DATA66,스테이지 클리어 이벤트 III,670,Ruby,33500.0,Ruby,42000.0
TBL_EVENT_STAGE_DATA67,스테이지 클리어 이벤트 III,680,Ruby,34000.0,Ruby,43000.0
TBL_EVENT_STAGE_DATA68,스테이지 클리어 이벤트 III,690,Ruby,34500.0,Ruby,44000.0
TBL_EVENT_STAGE_DATA69,스테이지 클리어 이벤트 III,700,Ruby,35000.0,Ruby,45000.0
TBL_EVENT_STAGE_DATA70,스테이지 클리어 이벤트 III,710,Ruby,35500.0,Ruby,46000.0
TBL_EVENT_STAGE_DATA71,스테이지 클리어 이벤트 III,720,Ruby,36000.0,Ruby,47000.0
TBL_EVENT_STAGE_DATA72,스테이지 클리어 이벤트 III,730,Ruby,36500.0,Ruby,48000.0
TBL_EVENT_STAGE_DATA73,스테이지 클리어 이벤트 III,740,Ruby,37000.0,Ruby,49000.0
TBL_EVENT_STAGE_DATA74,스테이지 클리어 이벤트 III,750,Ruby,37500.0,Ruby,50000.0
