name,Number,IconIndex,RoyalMasteryType,Order,StatType,Value,ValueAdd,MaxLevel,LevelUpCost,NameText,DescriptionText
보스 강화 II,2,11,Battle,5,BossDamageRate,20.0,20.0,10,2,Royal.Mastery.Battle.Name.BossDamageRate,Royal.Mastery.Battle.Description.BossDamageRate
Empty,0,0,Battle,5,Empty,0.0,0.0,0,2,,
공격 강화 III,3,12,Battle,6,Damage,30000.0,30000.0,10,3,Royal.Mastery.Battle.Name.Damage,Royal.Mastery.Battle.Description.Damage
스킬 강화 III,3,13,Battle,6,SkillDamageRate,90.0,90.0,10,3,Royal.Mastery.Battle.Name.SkillDamageRate,Royal.Mastery.Battle.Description.SkillDamageRate
체력 강화 III,3,14,Battle,6,Health,300000.0,300000.0,10,3,Royal.Mastery.Battle.Name.Health,Royal.Mastery.Battle.Description.Health
명중 강화 III,3,15,Battle,7,Acc,40.0,40.0,5,3,Royal.Mastery.Battle.Name.Acc,Royal.Mastery.Battle.Description.Acc
Empty,0,0,Battle,7,Empty,0.0,0.0,0,3,,
회피 강화 III,3,16,Battle,7,Dodge,40.0,40.0,5,3,Royal.Mastery.Battle.Name.Dodge,Royal.Mastery.Battle.Description.Dodge
Empty,0,0,Battle,8,Empty,0.0,0.0,0,3,,
보스 강화 III,3,17,Battle,8,BossDamageRate,60.0,60.0,10,3,Royal.Mastery.Battle.Name.BossDamageRate,Royal.Mastery.Battle.Description.BossDamageRate
Empty,0,0,Battle,8,Empty,0.0,0.0,0,3,,
공격 강화 IV,4,18,Battle,9,Damage,100000.0,100000.0,10,4,Royal.Mastery.Battle.Name.Damage,Royal.Mastery.Battle.Description.Damage
스킬 강화 IV,4,19,Battle,9,SkillDamageRate,150.0,150.0,10,4,Royal.Mastery.Battle.Name.SkillDamageRate,Royal.Mastery.Battle.Description.SkillDamageRate
체력 강화 IV,4,20,Battle,9,Health,1000000.0,1000000.0,10,4,Royal.Mastery.Battle.Name.Health,Royal.Mastery.Battle.Description.Health
명중 강화 IV,4,21,Battle,10,Acc,60.0,60.0,5,4,Royal.Mastery.Battle.Name.Acc,Royal.Mastery.Battle.Description.Acc
Empty,0,0,Battle,10,Empty,0.0,0.0,0,4,,
회피 강화 IV,4,22,Battle,10,Dodge,60.0,60.0,5,4,Royal.Mastery.Battle.Name.Dodge,Royal.Mastery.Battle.Description.Dodge
Empty,0,0,Battle,11,Empty,0.0,0.0,0,4,,
보스 강화 IV,4,23,Battle,11,BossDamageRate,90.0,90.0,10,4,Royal.Mastery.Battle.Name.BossDamageRate,Royal.Mastery.Battle.Description.BossDamageRate
Empty,0,0,Battle,11,Empty,0.0,0.0,0,4,,
공격 강화 V,5,24,Battle,12,Damage,300000.0,300000.0,10,5,Royal.Mastery.Battle.Name.Damage,Royal.Mastery.Battle.Description.Damage
스킬 강화 V,5,25,Battle,12,SkillDamageRate,300.0,300.0,10,5,Royal.Mastery.Battle.Name.SkillDamageRate,Royal.Mastery.Battle.Description.SkillDamageRate
체력 강화 V,5,26,Battle,12,Health,3000000.0,3000000.0,10,5,Royal.Mastery.Battle.Name.Health,Royal.Mastery.Battle.Description.Health
명중 강화 V,5,27,Battle,13,Acc,90.0,90.0,5,5,Royal.Mastery.Battle.Name.Acc,Royal.Mastery.Battle.Description.Acc
Empty,0,0,Battle,13,Empty,0.0,0.0,0,5,,
회피 강화 V,5,28,Battle,13,Dodge,90.0,90.0,5,5,Royal.Mastery.Battle.Name.Dodge,Royal.Mastery.Battle.Description.Dodge
Empty,0,0,Battle,14,Empty,0.0,0.0,0,5,,
보스 강화 V,5,29,Battle,14,BossDamageRate,150.0,150.0,10,5,Royal.Mastery.Battle.Name.BossDamageRate,Royal.Mastery.Battle.Description.BossDamageRate
Empty,0,0,Battle,14,Empty,0.0,0.0,0,5,,
