name,NeexExp
TBL_CHARACTER_LEVEL_0262,73952534760645.6
TBL_CHARACTER_LEVEL_0263,75518754118212.0
TBL_CHARACTER_LEVEL_0264,77114124069888.0
TBL_CHARACTER_LEVEL_0265,78738644615673.6
TBL_CHARACTER_LEVEL_0266,80392315755568.8
TBL_CHARACTER_LEVEL_0267,82075137489573.6
TBL_CHARACTER_LEVEL_0268,83787109817688.0
TBL_CHARACTER_LEVEL_0269,85528232739912.0
TBL_CHARACTER_LEVEL_0270,87304336375068.0
TBL_CHARACTER_LEVEL_0271,89115420723156.0
TBL_CHARACTER_LEVEL_0272,90961485784176.0
TBL_CHARACTER_LEVEL_0273,92842531558128.0
TBL_CHARACTER_LEVEL_0274,94758558045012.0
TBL_CHARACTER_LEVEL_0275,96709565244828.0
TBL_CHARACTER_LEVEL_0276,98695553157576.0
TBL_CHARACTER_LEVEL_0277,100716521783256.0
TBL_CHARACTER_LEVEL_0278,102772471121868.0
TBL_CHARACTER_LEVEL_0279,104863401173412.0
TBL_CHARACTER_LEVEL_0280,106996308080474.0
TBL_CHARACTER_LEVEL_0281,109171191843055.0
TBL_CHARACTER_LEVEL_0282,111388052461154.0
TBL_CHARACTER_LEVEL_0283,113646889934772.0
TBL_CHARACTER_LEVEL_0284,115947704263908.0
TBL_CHARACTER_LEVEL_0285,118290495448562.0
TBL_CHARACTER_LEVEL_0286,120675263488735.0
TBL_CHARACTER_LEVEL_0287,123102008384426.0
TBL_CHARACTER_LEVEL_0288,125570730135636.0
TBL_CHARACTER_LEVEL_0289,128081428742364.0
TBL_CHARACTER_LEVEL_0290,130642499575714.0
TBL_CHARACTER_LEVEL_0291,133253942635685.0
TBL_CHARACTER_LEVEL_0292,135915757922278.0
TBL_CHARACTER_LEVEL_0293,138627945435492.0
TBL_CHARACTER_LEVEL_0294,141390505175328.0
TBL_CHARACTER_LEVEL_0295,144203437141786.0
TBL_CHARACTER_LEVEL_0296,147066741334865.0
TBL_CHARACTER_LEVEL_0297,149980417754566.0
TBL_CHARACTER_LEVEL_0298,152944466400888.0
TBL_CHARACTER_LEVEL_0299,155958887273832.0
TBL_CHARACTER_LEVEL_0300,159025308146776.0
TBL_CHARACTER_LEVEL_0301,162144529019720.0
TBL_CHARACTER_LEVEL_0302,165317349892664.0
TBL_CHARACTER_LEVEL_0303,168544570765608.0
TBL_CHARACTER_LEVEL_0304,171826991638552.0
TBL_CHARACTER_LEVEL_0305,175165412511496.0
TBL_CHARACTER_LEVEL_0306,178560633384440.0
TBL_CHARACTER_LEVEL_0307,182013454257384.0
TBL_CHARACTER_LEVEL_0308,185524675130328.0
TBL_CHARACTER_LEVEL_0309,189095096003272.0
TBL_CHARACTER_LEVEL_0310,192725516876216.0
TBL_CHARACTER_LEVEL_0311,196417937749160.0
TBL_CHARACTER_LEVEL_0312,200174358622104.0
TBL_CHARACTER_LEVEL_0313,203996779495048.0
TBL_CHARACTER_LEVEL_0314,207887200367992.0
TBL_CHARACTER_LEVEL_0315,211847621240936.0
TBL_CHARACTER_LEVEL_0316,215880042113880.0
TBL_CHARACTER_LEVEL_0317,219986462986824.0
TBL_CHARACTER_LEVEL_0318,224168883859768.0
TBL_CHARACTER_LEVEL_0319,228429304732712.0
TBL_CHARACTER_LEVEL_0320,232769725605656.0
TBL_CHARACTER_LEVEL_0321,237198146478600.0
TBL_CHARACTER_LEVEL_0322,241722567351544.0
TBL_CHARACTER_LEVEL_0323,246350988224488.0
TBL_CHARACTER_LEVEL_0324,251091409097432.0
TBL_CHARACTER_LEVEL_0325,255951829970376.0
TBL_CHARACTER_LEVEL_0326,260940250843320.0
TBL_CHARACTER_LEVEL_0327,266064671716264.0
TBL_CHARACTER_LEVEL_0328,271333092589208.0
TBL_CHARACTER_LEVEL_0329,276753513462152.0
TBL_CHARACTER_LEVEL_0330,282333934335096.0
TBL_CHARACTER_LEVEL_0331,288090355208040.0
TBL_CHARACTER_LEVEL_0332,294038776080984.0
TBL_CHARACTER_LEVEL_0333,300195196953928.0
TBL_CHARACTER_LEVEL_0334,306575617826872.0
TBL_CHARACTER_LEVEL_0335,313196038699816.0
TBL_CHARACTER_LEVEL_0336,320072459572760.0
TBL_CHARACTER_LEVEL_0337,327220880445704.0
TBL_CHARACTER_LEVEL_0338,334657301318648.0
TBL_CHARACTER_LEVEL_0339,342397722191592.0
TBL_CHARACTER_LEVEL_0340,350458143064536.0
TBL_CHARACTER_LEVEL_0341,358878563937480.0
TBL_CHARACTER_LEVEL_0342,367698984810424.0
TBL_CHARACTER_LEVEL_0343,376959405683368.0
TBL_CHARACTER_LEVEL_0344,386699826556312.0
TBL_CHARACTER_LEVEL_0345,396960247429256.0
TBL_CHARACTER_LEVEL_0346,407780668302200.0
TBL_CHARACTER_LEVEL_0347,419201089175144.0
TBL_CHARACTER_LEVEL_0348,431261510048088.0
TBL_CHARACTER_LEVEL_0349,444041930921032.0
TBL_CHARACTER_LEVEL_0350,457622351793976.0
TBL_CHARACTER_LEVEL_0351,472082772666920.0
TBL_CHARACTER_LEVEL_0352,487503193539864.0
TBL_CHARACTER_LEVEL_0353,503963614412808.0
TBL_CHARACTER_LEVEL_0354,521544035285752.0
TBL_CHARACTER_LEVEL_0355,540324456158696.0
TBL_CHARACTER_LEVEL_0356,560384877031640.0
TBL_CHARACTER_LEVEL_0357,581805297904584.0
TBL_CHARACTER_LEVEL_0358,604665718777528.0
TBL_CHARACTER_LEVEL_0359,629046139650472.0
TBL_CHARACTER_LEVEL_0360,655026560523416.0
TBL_CHARACTER_LEVEL_0361,682766981396360.0
TBL_CHARACTER_LEVEL_0362,712427402269304.0
TBL_CHARACTER_LEVEL_0363,744167823142248.0
TBL_CHARACTER_LEVEL_0364,778148244015192.0
TBL_CHARACTER_LEVEL_0365,814528664888136.0
TBL_CHARACTER_LEVEL_0366,853469085761080.0
TBL_CHARACTER_LEVEL_0367,895129506634024.0
TBL_CHARACTER_LEVEL_0368,939669927506968.0
TBL_CHARACTER_LEVEL_0369,987250348379912.0
TBL_CHARACTER_LEVEL_0370,1038030769252860.0
TBL_CHARACTER_LEVEL_0371,1092411190125800.0
TBL_CHARACTER_LEVEL_0372,1150791610998740.0
TBL_CHARACTER_LEVEL_0373,1213572031871690.0
TBL_CHARACTER_LEVEL_0374,1281152452744630.0
TBL_CHARACTER_LEVEL_0375,1353932873617580.0
TBL_CHARACTER_LEVEL_0376,1432313294490520.0
TBL_CHARACTER_LEVEL_0377,1516693715363460.0
TBL_CHARACTER_LEVEL_0378,1607474136236410.0
TBL_CHARACTER_LEVEL_0379,1705454557109350.0
TBL_CHARACTER_LEVEL_0380,1811434977982300.0
TBL_CHARACTER_LEVEL_0381,1929415398855240.0
TBL_CHARACTER_LEVEL_0382,2063395819728180.0
TBL_CHARACTER_LEVEL_0383,2217376240601130.0
TBL_CHARACTER_LEVEL_0384,2395356661474070.0
TBL_CHARACTER_LEVEL_0385,2601337082347020.0
TBL_CHARACTER_LEVEL_0386,2839317503219960.0
TBL_CHARACTER_LEVEL_0387,3113297924092900.0
TBL_CHARACTER_LEVEL_0388,3427278344965850.0
TBL_CHARACTER_LEVEL_0389,3789258765838790.0
TBL_CHARACTER_LEVEL_0390,4207239186711740.0
TBL_CHARACTER_LEVEL_0391,4689219607584680.0
TBL_CHARACTER_LEVEL_0392,5243200028457620.0
TBL_CHARACTER_LEVEL_0393,5877180449330570.0
TBL_CHARACTER_LEVEL_0394,6671160870203510.0
TBL_CHARACTER_LEVEL_0395,7705141291076460.0
TBL_CHARACTER_LEVEL_0396,9059121711949440.0
TBL_CHARACTER_LEVEL_0397,1.08131021328223e+16
TBL_CHARACTER_LEVEL_0398,1.30470825536953e+16
TBL_CHARACTER_LEVEL_0399,1.58410629745682e+16
TBL_CHARACTER_LEVEL_0400,1.92750433954412e+16
TBL_CHARACTER_LEVEL_0401,2.34290238163142e+16
TBL_CHARACTER_LEVEL_0402,2.8383004237187e+16
TBL_CHARACTER_LEVEL_0403,3.413698465806e+16
TBL_CHARACTER_LEVEL_0404,4.0690965078933e+16
TBL_CHARACTER_LEVEL_0405,4.80449454998059e+16
TBL_CHARACTER_LEVEL_0406,5.61989259206789e+16
TBL_CHARACTER_LEVEL_0407,6.51529063415518e+16
TBL_CHARACTER_LEVEL_0408,7.49068867624246e+16
TBL_CHARACTER_LEVEL_0409,8.54608671832976e+16
TBL_CHARACTER_LEVEL_0410,9.76148476041696e+16
TBL_CHARACTER_LEVEL_0411,1.11368828025043e+17
TBL_CHARACTER_LEVEL_0412,1.26722808445917e+17
TBL_CHARACTER_LEVEL_0413,1.4367678886679e+17
TBL_CHARACTER_LEVEL_0414,1.62230769287662e+17
TBL_CHARACTER_LEVEL_0415,1.82384749708534e+17
TBL_CHARACTER_LEVEL_0416,2.04138730129408e+17
TBL_CHARACTER_LEVEL_0417,2.27492710550282e+17
TBL_CHARACTER_LEVEL_0418,2.52446690971154e+17
TBL_CHARACTER_LEVEL_0419,2.79000671392026e+17
TBL_CHARACTER_LEVEL_0420,3.07954651812899e+17
TBL_CHARACTER_LEVEL_0421,3.39308632233773e+17
TBL_CHARACTER_LEVEL_0422,3.73062612654646e+17
TBL_CHARACTER_LEVEL_0423,4.09216593075518e+17
TBL_CHARACTER_LEVEL_0424,4.47770573496391e+17
TBL_CHARACTER_LEVEL_0425,4.88724553917264e+17
TBL_CHARACTER_LEVEL_0426,5.32078534338138e+17
TBL_CHARACTER_LEVEL_0427,5.7783251475901e+17
TBL_CHARACTER_LEVEL_0428,6.25986495179883e+17
TBL_CHARACTER_LEVEL_0429,6.76540475600757e+17
TBL_CHARACTER_LEVEL_0430,7.3029445602163e+17
TBL_CHARACTER_LEVEL_0431,7.87248436442502e+17
TBL_CHARACTER_LEVEL_0432,8.47402416863376e+17
TBL_CHARACTER_LEVEL_0433,9.10756397284248e+17
TBL_CHARACTER_LEVEL_0434,9.77310377705112e+17
TBL_CHARACTER_LEVEL_0435,1.04706435812598e+18
TBL_CHARACTER_LEVEL_0436,1.12001833854686e+18
TBL_CHARACTER_LEVEL_0437,1.19617231896774e+18
TBL_CHARACTER_LEVEL_0438,1.27552629938862e+18
TBL_CHARACTER_LEVEL_0439,1.35808027980949e+18
TBL_CHARACTER_LEVEL_0440,1.44463426023036e+18
TBL_CHARACTER_LEVEL_0441,1.53518824065123e+18
TBL_CHARACTER_LEVEL_0442,1.6297422210721e+18
TBL_CHARACTER_LEVEL_0443,1.72829620149298e+18
TBL_CHARACTER_LEVEL_0444,1.83085018191385e+18
TBL_CHARACTER_LEVEL_0445,1.93740416233473e+18
TBL_CHARACTER_LEVEL_0446,2.0479581427556e+18
TBL_CHARACTER_LEVEL_0447,2.16251212317647e+18
TBL_CHARACTER_LEVEL_0448,2.28106610359734e+18
TBL_CHARACTER_LEVEL_0449,2.40362008401822e+18
TBL_CHARACTER_LEVEL_0450,2.53097406443908e+18
TBL_CHARACTER_LEVEL_0451,2.66312804485996e+18
TBL_CHARACTER_LEVEL_0452,2.80008202528082e+18
TBL_CHARACTER_LEVEL_0453,2.9418360057017e+18
TBL_CHARACTER_LEVEL_0454,3.08838998612258e+18
TBL_CHARACTER_LEVEL_0455,3.23974396654345e+18
TBL_CHARACTER_LEVEL_0456,3.39589794696433e+18
TBL_CHARACTER_LEVEL_0457,3.55685192738519e+18
TBL_CHARACTER_LEVEL_0458,3.72260590780607e+18
TBL_CHARACTER_LEVEL_0459,3.89315988822694e+18
TBL_CHARACTER_LEVEL_0460,4.06931386864782e+18
TBL_CHARACTER_LEVEL_0461,4.25106784906869e+18
TBL_CHARACTER_LEVEL_0462,4.43842182948956e+18
TBL_CHARACTER_LEVEL_0463,4.63137580991043e+18
TBL_CHARACTER_LEVEL_0464,4.8299297903313e+18
TBL_CHARACTER_LEVEL_0465,5.03408377075218e+18
TBL_CHARACTER_LEVEL_0466,5.24383775117306e+18
TBL_CHARACTER_LEVEL_0467,5.45919173159392e+18
TBL_CHARACTER_LEVEL_0468,5.68014571201479e+18
TBL_CHARACTER_LEVEL_0469,5.90669969243567e+18
TBL_CHARACTER_LEVEL_0470,6.13965367285654e+18
TBL_CHARACTER_LEVEL_0471,6.37900765327741e+18
TBL_CHARACTER_LEVEL_0472,6.62476163369828e+18
TBL_CHARACTER_LEVEL_0473,6.87691561411916e+18
TBL_CHARACTER_LEVEL_0474,7.13546959454003e+18
TBL_CHARACTER_LEVEL_0475,7.40042357496091e+18
TBL_CHARACTER_LEVEL_0476,7.67177755538178e+18
TBL_CHARACTER_LEVEL_0477,7.94953153580266e+18
TBL_CHARACTER_LEVEL_0478,8.23368551622352e+18
TBL_CHARACTER_LEVEL_0479,8.5242394966444e+18
TBL_CHARACTER_LEVEL_0480,8.82199347706528e+18
TBL_CHARACTER_LEVEL_0481,9.12694745748616e+18
TBL_CHARACTER_LEVEL_0482,9.43910143790704e+18
TBL_CHARACTER_LEVEL_0483,9.75845541832792e+18
TBL_CHARACTER_LEVEL_0484,1.00850093987488e+19
TBL_CHARACTER_LEVEL_0485,1.04187633791695e+19
TBL_CHARACTER_LEVEL_0486,1.07597173595905e+19
TBL_CHARACTER_LEVEL_0487,1.11078713400113e+19
TBL_CHARACTER_LEVEL_0488,1.14632253204322e+19
TBL_CHARACTER_LEVEL_0489,1.1825779300853e+19
TBL_CHARACTER_LEVEL_0490,1.2196333281274e+19
TBL_CHARACTER_LEVEL_0491,1.25748872616948e+19
TBL_CHARACTER_LEVEL_0492,1.29614412421158e+19
TBL_CHARACTER_LEVEL_0493,1.33559952225366e+19
TBL_CHARACTER_LEVEL_0494,1.37585492029575e+19
TBL_CHARACTER_LEVEL_0495,1.41691031833783e+19
TBL_CHARACTER_LEVEL_0496,1.45876571637992e+19
TBL_CHARACTER_LEVEL_0497,1.501421114422e+19
