name,GuideMissionType,CompleteCount,RewardType,RewardAmount,DescriptionText
TBL_GUIDE_MISSION19,RoyalGrowthHealthLevel,40,Ruby,300.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION20,RoyalForceAttackSpeedLevel,20,PigJelly,10000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION21,RoyalForceMoveSpeedLevel,20,PigJelly,10000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION22,RoyalForceCriticalLevel,20,PigJelly,10000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION23,RoyalForceAccLevel,20,PigJelly,10000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION24,Stage,5,PigJelly,20000.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION25,MonsterKill,200,Gold,200000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION26,Level,7,Ruby,300.0,GuideMission.Description.Level
TBL_GUIDE_MISSION27,BlessHealthCount,1,Ruby,300.0,GuideMission.Description.BlessHealthCount
TBL_GUIDE_MISSION28,RoyalGrowthDamageLevel,50,Ruby,400.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION29,RoyalGrowthHealthLevel,50,Ruby,400.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION30,RoyalGrowthCriticalChance1Level,10,Gold,200000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION31,RoyalGrowthCriticalDamageRate1Level,5,Ruby,400.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION32,RoyalForceAttackSpeedLevel,30,PigJelly,20000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION33,RoyalForceMoveSpeedLevel,30,PigJelly,20000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION34,RoyalForceCriticalLevel,30,PigJelly,20000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION35,RoyalForceAccLevel,30,PigJelly,20000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION36,Stage,7,PigJelly,40000.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION37,MonsterKill,300,Gold,400000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION38,Level,9,Ruby,400.0,GuideMission.Description.Level
TBL_GUIDE_MISSION39,BlessGoldCount,1,Ruby,400.0,GuideMission.Description.BlessGoldCount
TBL_GUIDE_MISSION40,RoyalGrowthDamageLevel,60,Ruby,500.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION41,RoyalGrowthHealthLevel,60,Ruby,500.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION42,RoyalGrowthCriticalChance1Level,15,Gold,400000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION43,RoyalGrowthCriticalDamageRate1Level,10,Ruby,500.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION44,RoyalForceAttackSpeedLevel,40,PigJelly,40000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION45,RoyalForceMoveSpeedLevel,40,PigJelly,40000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION46,RoyalForceCriticalLevel,40,PigJelly,40000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION47,RoyalForceAccLevel,40,PigJelly,40000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION48,Stage,10,PigJelly,80000.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION49,MonsterKill,400,Gold,500000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION50,Level,9,Ruby,500.0,GuideMission.Description.Level
TBL_GUIDE_MISSION51,BlessExpCount,1,Ruby,500.0,GuideMission.Description.BlessExpCount
TBL_GUIDE_MISSION52,Level,10,Ruby,500.0,GuideMission.Description.Level
TBL_GUIDE_MISSION53,RoyalGrowthDamageLevel,100,Ruby,500.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION54,RoyalGrowthHealthLevel,100,Ruby,500.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION55,RoyalGrowthCriticalChance1Level,25,Gold,500000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION56,RoyalGrowthCriticalDamageRate1Level,15,Ruby,500.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION57,GachaWeaponCount,10,Ruby,500.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION58,GachaShieldCount,10,Ruby,500.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION59,MonsterKill,500,Gold,600000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION60,Stage,11,Ruby,500.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION61,Level,11,Ruby,500.0,GuideMission.Description.Level
TBL_GUIDE_MISSION62,RoyalGrowthDamageLevel,150,Ruby,500.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION63,RoyalGrowthHealthLevel,150,Ruby,500.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION64,GachaWeaponCount,30,Ruby,500.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION65,GachaShieldCount,30,Ruby,500.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION66,GachaSkillCount,10,Ruby,500.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION67,MonsterKill,600,Gold,700000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION68,Stage,12,Ruby,500.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION69,Level,12,Ruby,500.0,GuideMission.Description.Level
TBL_GUIDE_MISSION70,RoyalForceAttackSpeedLevel,50,PigJelly,80000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION71,RoyalForceMoveSpeedLevel,50,PigJelly,80000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION72,RoyalForceCriticalLevel,50,PigJelly,80000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION73,RoyalForceAccLevel,50,PigJelly,80000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION74,MonsterKill,700,Gold,800000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION75,Level,13,Ruby,500.0,GuideMission.Description.Level
TBL_GUIDE_MISSION76,Stage,13,Ruby,500.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION77,RoyalGrowthDamageLevel,200,Ruby,500.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION78,RoyalGrowthHealthLevel,200,Ruby,500.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION79,RoyalGrowthCriticalChance1Level,50,Gold,800000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION80,RoyalGrowthCriticalDamageRate1Level,20,Ruby,500.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION81,GachaWeaponCount,50,Ruby,500.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION82,GachaShieldCount,50,Ruby,500.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION83,GachaSkillCount,50,Ruby,500.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION84,DungeonFishFightClearCount,2,Ruby,500.0,GuideMission.Description.DungeonFishFightClearCount
TBL_GUIDE_MISSION85,DungeonPigCowClearCount,2,Ruby,500.0,GuideMission.Description.DungeonPigCowClearCount
TBL_GUIDE_MISSION86,DungeonInfiniteTowerClearCount,2,Ruby,500.0,GuideMission.Description.DungeonInfiniteTowerClearCount
TBL_GUIDE_MISSION87,Level,14,Ruby,600.0,GuideMission.Description.Level
TBL_GUIDE_MISSION88,RoyalGrowthDamageLevel,250,Ruby,600.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION89,RoyalGrowthHealthLevel,250,Ruby,600.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION90,GachaWeaponCount,70,Ruby,600.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION91,GachaShieldCount,70,Ruby,600.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION92,MonsterKill,800,Gold,900000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION93,Stage,15,Ruby,600.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION94,Level,15,Ruby,600.0,GuideMission.Description.Level
TBL_GUIDE_MISSION95,RoyalGrowthDamageLevel,300,Ruby,600.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION96,RoyalGrowthHealthLevel,300,Ruby,600.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION97,RoyalGrowthCriticalChance1Level,60,Gold,900000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION98,RoyalGrowthCriticalDamageRate1Level,30,Ruby,600.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION99,GachaWeaponCount,90,Ruby,600.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION100,GachaShieldCount,90,Ruby,600.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION101,GachaSkillCount,20,Ruby,600.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION102,MonsterKill,900,Gold,1000000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION103,Stage,15,Ruby,600.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION104,Level,15,Ruby,600.0,GuideMission.Description.Level
TBL_GUIDE_MISSION105,RoyalForceAttackSpeedLevel,60,PigJelly,90000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION106,RoyalForceMoveSpeedLevel,60,PigJelly,90000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION107,RoyalForceCriticalLevel,60,PigJelly,90000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION108,RoyalForceAccLevel,60,PigJelly,90000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION109,MonsterKill,1000,Gold,2000000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION110,Level,16,Ruby,600.0,GuideMission.Description.Level
TBL_GUIDE_MISSION111,Stage,16,Ruby,600.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION112,RoyalGrowthDamageLevel,350,Ruby,600.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION113,RoyalGrowthHealthLevel,350,Ruby,600.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION114,RoyalGrowthCriticalChance1Level,70,Gold,2000000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION115,RoyalGrowthCriticalDamageRate1Level,35,Ruby,600.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION116,GachaWeaponCount,110,Ruby,600.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION117,GachaShieldCount,110,Ruby,600.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION118,GachaSkillCount,30,Ruby,600.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION119,DungeonFishFightClearCount,4,Ruby,600.0,GuideMission.Description.DungeonFishFightClearCount
TBL_GUIDE_MISSION120,DungeonPigCowClearCount,4,Ruby,600.0,GuideMission.Description.DungeonPigCowClearCount
TBL_GUIDE_MISSION121,DungeonInfiniteTowerClearCount,4,Ruby,600.0,GuideMission.Description.DungeonInfiniteTowerClearCount
TBL_GUIDE_MISSION122,Level,17,Ruby,700.0,GuideMission.Description.Level
TBL_GUIDE_MISSION123,RoyalGrowthDamageLevel,400,Ruby,700.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION124,RoyalGrowthHealthLevel,400,Ruby,700.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION125,GachaWeaponCount,130,Ruby,700.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION126,GachaShieldCount,130,Ruby,700.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION127,MonsterKill,1100,Gold,2100000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION128,Stage,18,Ruby,700.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION129,Level,18,Ruby,700.0,GuideMission.Description.Level
TBL_GUIDE_MISSION130,RoyalGrowthDamageLevel,450,Ruby,700.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION131,RoyalGrowthHealthLevel,450,Ruby,700.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION132,RoyalGrowthCriticalChance1Level,80,Gold,2100000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION133,RoyalGrowthCriticalDamageRate1Level,40,Ruby,700.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION134,GachaWeaponCount,150,Ruby,700.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION135,GachaShieldCount,150,Ruby,700.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION136,GachaSkillCount,30,Ruby,700.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION137,MonsterKill,1200,Gold,2200000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION138,Stage,18,Ruby,700.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION139,Level,18,Ruby,700.0,GuideMission.Description.Level
TBL_GUIDE_MISSION140,RoyalForceAttackSpeedLevel,70,PigJelly,100000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION141,RoyalForceMoveSpeedLevel,70,PigJelly,100000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION142,RoyalForceCriticalLevel,70,PigJelly,100000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION143,RoyalForceAccLevel,70,PigJelly,100000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION144,MonsterKill,1300,Gold,3200000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION145,Level,19,Ruby,700.0,GuideMission.Description.Level
TBL_GUIDE_MISSION146,Stage,19,Ruby,700.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION147,RoyalGrowthDamageLevel,500,Ruby,700.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION148,RoyalGrowthHealthLevel,500,Ruby,700.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION149,GachaWeaponCount,170,Ruby,700.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION150,GachaShieldCount,170,Ruby,700.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION151,GachaSkillCount,40,Ruby,700.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION152,DungeonFishFightClearCount,6,Ruby,700.0,GuideMission.Description.DungeonFishFightClearCount
TBL_GUIDE_MISSION153,DungeonPigCowClearCount,6,Ruby,700.0,GuideMission.Description.DungeonPigCowClearCount
TBL_GUIDE_MISSION154,DungeonInfiniteTowerClearCount,6,Ruby,700.0,GuideMission.Description.DungeonInfiniteTowerClearCount
TBL_GUIDE_MISSION155,Level,20,Ruby,800.0,GuideMission.Description.Level
TBL_GUIDE_MISSION156,RoyalGrowthDamageLevel,550,Ruby,800.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION157,RoyalGrowthHealthLevel,550,Ruby,800.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION158,RoyalGrowthCriticalChance1Level,100,Gold,3200000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION159,RoyalGrowthCriticalDamageRate1Level,50,Ruby,800.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION160,GachaWeaponCount,190,Ruby,800.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION161,GachaShieldCount,190,Ruby,800.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION162,MonsterKill,1400,Gold,3300000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION163,Stage,21,Ruby,800.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION164,Level,21,Ruby,800.0,GuideMission.Description.Level
TBL_GUIDE_MISSION165,RoyalGrowthDamageLevel,600,Ruby,800.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION166,RoyalGrowthHealthLevel,600,Ruby,800.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION167,GachaWeaponCount,210,Ruby,800.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION168,GachaShieldCount,210,Ruby,800.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION169,GachaSkillCount,40,Ruby,800.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION170,MonsterKill,1500,Gold,3400000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION171,Stage,21,Ruby,800.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION172,Level,21,Ruby,800.0,GuideMission.Description.Level
TBL_GUIDE_MISSION173,RoyalForceAttackSpeedLevel,80,PigJelly,110000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION174,RoyalForceMoveSpeedLevel,80,PigJelly,110000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION175,RoyalForceCriticalLevel,80,PigJelly,110000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION176,RoyalForceAccLevel,80,PigJelly,110000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION177,MonsterKill,1600,Gold,4400000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION178,Level,22,Ruby,800.0,GuideMission.Description.Level
TBL_GUIDE_MISSION179,Stage,22,Ruby,800.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION180,RoyalGrowthDamageLevel,650,Ruby,800.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION181,RoyalGrowthHealthLevel,650,Ruby,800.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION182,RoyalGrowthCriticalChance1Level,120,Gold,4400000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION183,RoyalGrowthCriticalDamageRate1Level,60,Ruby,800.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION184,GachaWeaponCount,230,Ruby,800.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION185,GachaShieldCount,230,Ruby,800.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION186,GachaSkillCount,50,Ruby,800.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION187,DungeonFishFightClearCount,8,Ruby,800.0,GuideMission.Description.DungeonFishFightClearCount
TBL_GUIDE_MISSION188,DungeonPigCowClearCount,8,Ruby,800.0,GuideMission.Description.DungeonPigCowClearCount
TBL_GUIDE_MISSION189,DungeonInfiniteTowerClearCount,8,Ruby,800.0,GuideMission.Description.DungeonInfiniteTowerClearCount
TBL_GUIDE_MISSION190,Level,23,Ruby,900.0,GuideMission.Description.Level
TBL_GUIDE_MISSION191,RoyalGrowthDamageLevel,700,Ruby,900.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION192,RoyalGrowthHealthLevel,700,Ruby,900.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION193,GachaWeaponCount,250,Ruby,900.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION194,GachaShieldCount,250,Ruby,900.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION195,MonsterKill,1700,Gold,4500000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION196,Stage,24,Ruby,900.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION197,Level,24,Ruby,900.0,GuideMission.Description.Level
TBL_GUIDE_MISSION198,RoyalGrowthDamageLevel,750,Ruby,900.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION199,RoyalGrowthHealthLevel,750,Ruby,900.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION200,RoyalGrowthCriticalChance1Level,150,Gold,4500000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION201,RoyalGrowthCriticalDamageRate1Level,75,Ruby,900.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION202,GachaWeaponCount,270,Ruby,900.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION203,GachaShieldCount,270,Ruby,900.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION204,GachaSkillCount,50,Ruby,900.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION205,MonsterKill,1800,Gold,4600000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION206,Stage,24,Ruby,900.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION207,Level,24,Ruby,900.0,GuideMission.Description.Level
TBL_GUIDE_MISSION208,RoyalForceAttackSpeedLevel,90,PigJelly,120000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION209,RoyalForceMoveSpeedLevel,90,PigJelly,120000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION210,RoyalForceCriticalLevel,90,PigJelly,120000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION211,RoyalForceAccLevel,90,PigJelly,120000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION212,MonsterKill,1900,Gold,5600000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION213,Level,25,Ruby,900.0,GuideMission.Description.Level
TBL_GUIDE_MISSION214,Stage,25,Ruby,900.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION215,RoyalGrowthDamageLevel,800,Ruby,900.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION216,RoyalGrowthHealthLevel,800,Ruby,900.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION217,RoyalGrowthCriticalChance1Level,180,Gold,5600000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION218,RoyalGrowthCriticalDamageRate1Level,90,Ruby,900.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION219,GachaWeaponCount,290,Ruby,900.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION220,GachaShieldCount,290,Ruby,900.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION221,GachaSkillCount,60,Ruby,900.0,GuideMission.Description.GachaSkillCount
TBL_GUIDE_MISSION222,DungeonFishFightClearCount,10,Ruby,900.0,GuideMission.Description.DungeonFishFightClearCount
TBL_GUIDE_MISSION223,DungeonPigCowClearCount,10,Ruby,900.0,GuideMission.Description.DungeonPigCowClearCount
TBL_GUIDE_MISSION224,DungeonInfiniteTowerClearCount,10,Ruby,900.0,GuideMission.Description.DungeonInfiniteTowerClearCount
TBL_GUIDE_MISSION225,Level,26,Ruby,1000.0,GuideMission.Description.Level
TBL_GUIDE_MISSION226,RoyalGrowthDamageLevel,850,Ruby,1000.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION227,RoyalGrowthHealthLevel,850,Ruby,1000.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION228,GachaWeaponCount,310,Ruby,1000.0,GuideMission.Description.GachaWeaponCount
TBL_GUIDE_MISSION229,GachaShieldCount,310,Ruby,1000.0,GuideMission.Description.GachaShieldCount
TBL_GUIDE_MISSION230,MonsterKill,2000,Gold,5700000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION231,Stage,27,Ruby,1000.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION232,Level,27,Ruby,1000.0,GuideMission.Description.Level
TBL_GUIDE_MISSION233,RoyalGrowthDamageLevel,900,Ruby,1000.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION234,RoyalGrowthHealthLevel,900,Ruby,1000.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION235,GachaWeaponCount,330,Ruby,1000.0,GuideMission.Description.GachaWeaponCount
