name,Level,StageType,NormalMonster,NormalValue,NormalHealth,BossMonster,BossValue,BossHealth,BossDamage,BossDodge,Exp,Gold,PigJelly,Ruby,Hero,ConditionType,ConditionValue
TBL_ADVENTURE24,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE25,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE26,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE27,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE28,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE29,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE30,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE31,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE32,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE33,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE34,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE35,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE36,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE37,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE38,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE39,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE40,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE41,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE42,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE43,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE44,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE45,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE46,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE47,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE48,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE49,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE50,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE51,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE52,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE53,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE54,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE55,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE56,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE57,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE58,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE59,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE60,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE61,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE62,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE63,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE64,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE65,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE66,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE67,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE68,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE69,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
