name,Level,AddValue,CostMultiplier
GROWTH_HEALTH_05,3200,160.0,16.0
GROWTH_HEALTH_06,6400,320.0,32.0
GROWTH_HEALTH_07,12800,640.0,64.0
GROWTH_HEALTH_08,25600,1280.0,128.0
GROWTH_HEALTH_09,38400,2560.0,256.0
GROWTH_HEALTH_10,40000,3840.0,384.0
GROWTH_HEALTH_11,42500,4000.0,500.0
GROWTH_HEALTH_12,45000,4250.0,600.0
GROWTH_HEALTH_13,47500,4500.0,700.0
GROWTH_HEALTH_14,50000,4750.0,800.0
GROWTH_HEALTH_15,51000,5000.0,900.0
GROWTH_HEALTH_16,52000,5250.0,1000.0
GROWTH_HEALTH_17,53000,5500.0,2000.0
GROWTH_HEALTH_18,54000,5750.0,3000.0
GROWTH_HEALTH_19,55000,6000.0,4000.0
GROWTH_HEALTH_20,56000,6250.0,5000.0
GROWTH_HEALTH_21,57000,6500.0,6000.0
GROWTH_HEALTH_22,58000,6750.0,7000.0
GROWTH_HEALTH_23,59000,7000.0,8000.0
GROWTH_HEALTH_24,60000,7250.0,9000.0
GROWTH_HEALTH_25,61000,7500.0,10000.0
GROWTH_HEALTH_26,62000,7750.0,11000.0
GROWTH_HEALTH_27,63000,8000.0,12000.0
GROWTH_HEALTH_28,64000,8250.0,13000.0
GROWTH_HEALTH_29,65000,8500.0,14000.0
GROWTH_HEALTH_30,66000,8750.0,15000.0
GROWTH_HEALTH_31,67000,9000.0,16000.0
GROWTH_HEALTH_32,68000,9250.0,17000.0
GROWTH_HEALTH_33,69000,9500.0,18000.0
GROWTH_HEALTH_34,70000,10000.0,19000.0
GROWTH_HEALTH_35,71000,10500.0,20000.0
GROWTH_HEALTH_36,72000,11000.0,21000.0
GROWTH_HEALTH_37,73000,11500.0,22000.0
GROWTH_HEALTH_38,74000,12000.0,23000.0
GROWTH_HEALTH_39,75000,12500.0,24000.0
GROWTH_HEALTH_40,76000,13000.0,25000.0
GROWTH_HEALTH_41,77000,13500.0,26000.0
GROWTH_HEALTH_42,78000,14000.0,27000.0
GROWTH_HEALTH_43,79000,14500.0,28000.0
GROWTH_HEALTH_44,80000,15000.0,29000.0
GROWTH_HEALTH_45,90000,15000.0,35000.0
GROWTH_HEALTH_46,100000,15000.0,50000.0
GROWTH_HEALTH_47,102500,15000.0,200000.0
GROWTH_HEALTH_48,105000,15000.0,360000.0
GROWTH_HEALTH_49,107500,15000.0,648000.0
GROWTH_HEALTH_50,110000,15000.0,1166400.0
GROWTH_HEALTH_51,112500,15000.0,2099520.0
GROWTH_HEALTH_52,115000,15000.0,3779136.0
GROWTH_HEALTH_53,117500,15000.0,6802444.0
GROWTH_HEALTH_54,120000,15000.0,12244399.0
GROWTH_HEALTH_55,122500,15000.0,22039918.0
GROWTH_HEALTH_56,125000,15000.0,39671852.0
GROWTH_HEALTH_57,127500,15000.0,71409333.0
GROWTH_HEALTH_58,130000,15000.0,128536799.0
GROWTH_HEALTH_59,132500,15000.0,231366238.0
GROWTH_HEALTH_60,135000,15000.0,416459228.0
GROWTH_HEALTH_61,137500,15000.0,749626610.0
GROWTH_HEALTH_62,140000,15000.0,1349327898.0
GROWTH_HEALTH_63,142500,15000.0,2428790216.0
GROWTH_HEALTH_64,145000,15000.0,4371822388.0
GROWTH_HEALTH_65,147500,15000.0,472236217000000.0
GROWTH_HEALTH_RECOVERY_01,200,10.0,1.0
GROWTH_HEALTH_RECOVERY_02,500,20.0,2.0
GROWTH_HEALTH_RECOVERY_03,1000,40.0,4.0
GROWTH_HEALTH_RECOVERY_04,2000,80.0,8.0
GROWTH_HEALTH_RECOVERY_05,3200,160.0,16.0
GROWTH_HEALTH_RECOVERY_06,6400,320.0,32.0
GROWTH_HEALTH_RECOVERY_07,12800,640.0,64.0
GROWTH_HEALTH_RECOVERY_08,25600,1280.0,128.0
GROWTH_HEALTH_RECOVERY_09,38400,2560.0,256.0
GROWTH_HEALTH_RECOVERY_10,40000,3840.0,384.0
GROWTH_HEALTH_RECOVERY_11,42500,4000.0,500.0
GROWTH_HEALTH_RECOVERY_12,45000,4250.0,600.0
GROWTH_HEALTH_RECOVERY_13,47500,4500.0,700.0
GROWTH_HEALTH_RECOVERY_14,50000,4750.0,800.0
GROWTH_HEALTH_RECOVERY_15,51000,5000.0,900.0
GROWTH_HEALTH_RECOVERY_16,52000,5250.0,1000.0
GROWTH_HEALTH_RECOVERY_17,53000,5500.0,2000.0
GROWTH_HEALTH_RECOVERY_18,54000,5750.0,3000.0
GROWTH_HEALTH_RECOVERY_19,55000,6000.0,4000.0
GROWTH_HEALTH_RECOVERY_20,56000,6250.0,5000.0
GROWTH_HEALTH_RECOVERY_21,57000,6500.0,6000.0
GROWTH_HEALTH_RECOVERY_22,58000,6750.0,7000.0
GROWTH_HEALTH_RECOVERY_23,59000,7000.0,8000.0
GROWTH_HEALTH_RECOVERY_24,60000,7250.0,9000.0
GROWTH_HEALTH_RECOVERY_25,61000,7500.0,10000.0
GROWTH_HEALTH_RECOVERY_26,62000,7750.0,11000.0
GROWTH_HEALTH_RECOVERY_27,63000,8000.0,12000.0
GROWTH_HEALTH_RECOVERY_28,64000,8250.0,13000.0
GROWTH_HEALTH_RECOVERY_29,65000,8500.0,14000.0
GROWTH_HEALTH_RECOVERY_30,66000,8750.0,15000.0
GROWTH_HEALTH_RECOVERY_31,67000,9000.0,16000.0
GROWTH_HEALTH_RECOVERY_32,68000,9250.0,17000.0
GROWTH_HEALTH_RECOVERY_33,69000,9500.0,18000.0
GROWTH_HEALTH_RECOVERY_34,70000,10000.0,19000.0
GROWTH_HEALTH_RECOVERY_35,71000,10500.0,20000.0
GROWTH_HEALTH_RECOVERY_36,72000,11000.0,21000.0
GROWTH_HEALTH_RECOVERY_37,73000,11500.0,22000.0
GROWTH_HEALTH_RECOVERY_38,74000,12000.0,23000.0
GROWTH_HEALTH_RECOVERY_39,75000,12500.0,24000.0
GROWTH_HEALTH_RECOVERY_40,76000,13000.0,25000.0
GROWTH_HEALTH_RECOVERY_41,77000,13500.0,26000.0
GROWTH_HEALTH_RECOVERY_42,78000,14000.0,27000.0
GROWTH_HEALTH_RECOVERY_43,79000,14500.0,28000.0
GROWTH_HEALTH_RECOVERY_44,80000,15000.0,29000.0
