name,Level,TBL_EQUIPMENT_BONUS_WRAP,NeedCount,EquipmentRewardIndex,EquipmentRewardCount
TBl_EQNUIPMENT_BONUS35,4,방패 보너스,900,8,1
TBl_EQNUIPMENT_BONUS36,5,방패 보너스,1500,9,1
TBl_EQNUIPMENT_BONUS37,6,방패 보너스,2500,10,1
TBl_EQNUIPMENT_BONUS38,7,방패 보너스,3500,11,1
TBl_EQNUIPMENT_BONUS39,8,방패 보너스,5500,12,1
TBl_EQNUIPMENT_BONUS40,9,방패 보너스,8000,13,1
TBl_EQNUIPMENT_BONUS41,10,방패 보너스,11000,14,1
TBl_EQNUIPMENT_BONUS42,11,방패 보너스,15000,15,1
TBl_EQNUIPMENT_BONUS43,12,방패 보너스,19000,16,1
TBl_EQNUIPMENT_BONUS44,13,방패 보너스,25500,17,1
TBl_EQNUIPMENT_BONUS45,14,방패 보너스,32500,18,1
TBl_EQNUIPMENT_BONUS46,15,방패 보너스,51000,19,1
TBl_EQNUIPMENT_BONUS47,16,방패 보너스,63000,20,1
TBl_EQNUIPMENT_BONUS48,17,방패 보너스,77000,21,1
TBl_EQNUIPMENT_BONUS49,18,방패 보너스,95000,22,1
TBl_EQNUIPMENT_BONUS50,19,방패 보너스,115000,24,1
TBl_EQNUIPMENT_BONUS51,20,방패 보너스,141000,25,1
TBl_EQNUIPMENT_BONUS52,21,방패 보너스,175000,25,2
TBl_EQNUIPMENT_BONUS53,22,방패 보너스,230000,25,3
TBl_EQNUIPMENT_BONUS54,23,방패 보너스,280000,25,4
TBl_EQNUIPMENT_BONUS55,24,방패 보너스,370000,25,5
TBl_EQNUIPMENT_BONUS56,25,방패 보너스,470000,25,6
TBl_EQNUIPMENT_BONUS57,26,방패 보너스,620000,25,7
TBl_EQNUIPMENT_BONUS58,27,방패 보너스,850000,25,8
TBl_EQNUIPMENT_BONUS59,28,방패 보너스,1000000,25,9
TBl_EQNUIPMENT_BONUS60,29,방패 보너스,1300000,25,10
TBl_EQNUIPMENT_BONUS61,30,방패 보너스,1700000,25,11
TBl_EQNUIPMENT_BONUS62,31,방패 보너스,2500000,25,12
TBl_EQNUIPMENT_BONUS63,32,방패 보너스,3000000,25,13
TBl_EQNUIPMENT_BONUS64,1,악세사리 보너스,100,5,1
TBl_EQNUIPMENT_BONUS65,2,악세사리 보너스,250,6,1
TBl_EQNUIPMENT_BONUS66,3,악세사리 보너스,500,7,1
TBl_EQNUIPMENT_BONUS67,4,악세사리 보너스,900,8,1
TBl_EQNUIPMENT_BONUS68,5,악세사리 보너스,1500,9,1
TBl_EQNUIPMENT_BONUS69,6,악세사리 보너스,2500,10,1
TBl_EQNUIPMENT_BONUS70,7,악세사리 보너스,3500,11,1
TBl_EQNUIPMENT_BONUS71,8,악세사리 보너스,5500,12,1
TBl_EQNUIPMENT_BONUS72,9,악세사리 보너스,8000,13,1
TBl_EQNUIPMENT_BONUS73,10,악세사리 보너스,11000,14,1
TBl_EQNUIPMENT_BONUS74,11,악세사리 보너스,15000,15,1
TBl_EQNUIPMENT_BONUS75,12,악세사리 보너스,19000,16,1
TBl_EQNUIPMENT_BONUS76,13,악세사리 보너스,25500,17,1
TBl_EQNUIPMENT_BONUS77,14,악세사리 보너스,32500,18,1
TBl_EQNUIPMENT_BONUS78,15,악세사리 보너스,51000,19,1
TBl_EQNUIPMENT_BONUS79,16,악세사리 보너스,63000,20,1
TBl_EQNUIPMENT_BONUS80,17,악세사리 보너스,77000,20,2
TBl_EQNUIPMENT_BONUS81,18,악세사리 보너스,95000,20,3
TBl_EQNUIPMENT_BONUS82,19,악세사리 보너스,115000,20,4
TBl_EQNUIPMENT_BONUS83,20,악세사리 보너스,141000,20,5
TBl_EQNUIPMENT_BONUS84,21,악세사리 보너스,175000,20,6
TBl_EQNUIPMENT_BONUS85,22,악세사리 보너스,230000,20,7
TBl_EQNUIPMENT_BONUS86,23,악세사리 보너스,280000,20,8
TBl_EQNUIPMENT_BONUS87,24,악세사리 보너스,370000,20,9
TBl_EQNUIPMENT_BONUS88,25,악세사리 보너스,470000,20,10
TBl_EQNUIPMENT_BONUS89,26,악세사리 보너스,620000,20,11
TBl_EQNUIPMENT_BONUS90,27,악세사리 보너스,850000,20,12
TBl_EQNUIPMENT_BONUS91,28,악세사리 보너스,1000000,20,13
TBl_EQNUIPMENT_BONUS92,29,악세사리 보너스,1300000,20,14
TBl_EQNUIPMENT_BONUS93,30,악세사리 보너스,1700000,20,15
TBl_EQNUIPMENT_BONUS94,31,악세사리 보너스,2500000,20,15
TBl_EQNUIPMENT_BONUS95,32,악세사리 보너스,3000000,20,15
