name,ko,en,ja,ru,zhcht
Hero.Name.05,선장,Captain,キャプテン,Капитан,隊長
Hero.Name.06,사신,Reaper,刈取,Жнец,收割者
Hero.Name.07,렘,Rem,Rem,Перепончаться,Rem
Hero.Name.08,람,Trim,トリム,Подрезать,修剪
Hero.Passive.Name.00,투지,Dumping,ダンピング,Сброс,傾倒
Hero.Passive.Name.01,광기,Madness,狂気,Безумие,瘋狂
Hero.Passive.Name.02,토르,Thor,ソー,Тор,雷神
Hero.Passive.Name.03,집중,Concentration,集中,Концентрация,專注
Hero.Passive.Name.04,도움,Help,ヘルプ,Помощь,幫助
Hero.Passive.Name.05,활무,Vitality,活力,Жизнеспособность,活力
Hero.Passive.Name.06,검무,Sword,剣,Меч,劍
Hero.Passive.Name.07,신속,Fast,速い,Быстрый,快速地
Hero.Passive.Name.08,질풍,Gale,ゲイル,Шарнир,大風
Hero.Passive.Name.09,증폭,Amplification,増幅,Усиление,放大
Hero.Passive.Name.10,지혜,Wisdom,知恵,Мудрость,智慧
Hero.Passive.Name.11,힐링,Healing,ヒーリング,Выздоровление,康復
Hero.Passive.Name.12,분노,Anger,怒り,Злость,憤怒
Hero.Passive.Name.13,동족,Cognation,認識,Родство,認知
Hero.Passive.Name.14,증강,Enhancement,強化,Улучшение,增強
Hero.Passive.Name.15,리치,Rich,リッチ,Богатый,富有的
Hero.Passive.Name.16,스텝,Step,ステップ,Шаг,步
Hero.Passive.Name.17,댄스,Dance,ダンス,Танец,舞蹈
Hero.Passive.Name.18,그림자,Shadow,影,Тень,陰影
Hero.Passive.Name.19,허무,Nothingness,何も,Ничто,虛無
Hero.Passive.Name.20,암살,Assassination,暗殺,Убийство,暗殺
Hero.Passive.Name.21,공허,Vacuity,空虚度,Не Пустота,真空
Miner.Name.00,몽일이,Mongil,モンギル,Монгил,蒙古
Miner.Name.01,호옹이,Hoong,ひも,Хлеб,洪
Miner.Name.02,크롱이,Krong,クロン,Крунг,克朗
Miner.Name.03,메롱이,Melong,メロン,Мелонг,美龍
Miner.Name.04,초롱이,Lantern,ランタン,Фонарь,燈籠
Miner.Name.05,푸롱이,Puron,プロン,Пурон,Puron
Miner.Name.06,뽀롱이,Porong,ポロング,Порог,波隆
Miner.Name.07,지현이,Jihyun,ジヒュン,Джихён,Jihyun
Miner.Name.08,나영이,Nayoung,Nayoung,Найонг,Nayoung
Miner.Name.09,댕댕이,Dog,犬,Собака,狗
Miner.Name.10,투덜이,Grumble,不平を言う,Ворчать,嘰
Miner.Name.11,혜성이,Comet,彗星,Комета,彗星
Miner.Name.12,멜빵이,Mel Bread,メルパン,Мел Хлеб,梅爾麵包
Miner.Name.13,용용이,Use,使用,Использовать,使用
Miner.Name.14,헤롱이,Harong,ハロン,Аронг,哈隆
Miner.Name.15,팔팔이,Arm,腕,Рука,手臂
Miner.Name.16,냥냥이,Nyan,ニャン,Ньян,尼安
Miner.Name.17,또롱이,Torong,トロング,Торонг,托隆
Miner.Name.18,호돌이,Hodoli,ホドリ,Ходоли,霍多利
Miner.Name.19,열혈이,Eagerness,意気込み,Рвение,渴望
Monster.Name.MimicCurrency,보석 미믹,Jewelry Mimic,ジュエリー,Ювелирные Изделия,珠寶
Monster.Name.MimicSword,무기 미믹,Weapon Mimic,武器の模倣,Оружие Имитирует,武器模仿
Monster.Name.MimicShield,방패 미믹,Shield Mimic,シールドミミック,Щит Имит,盾牌模仿
Quest.Type.Daily,일일 퀘스트 {0}회 달성,Daily Quest {0} Achievement,毎日のクエスト{0}功績,Daily Quest {0} Достижение,每日任務{0}成就
Quest.Type.Weekly,주간 퀘스트 {0}회 달성,Weekly Quest {0} Achievement,毎週のクエスト{0}功績,Еженедельный Квест {0} Достижения,每週任務{0}成就
Quest.Type.Repeat,반복 퀘스트 {0}회 달성,Repeat Quest {0} Achievement,Quest {0}の繰り返しの達成,Повторите Квест {0} Достижение,重複任務{0}成就
Quest.Name.Attendance,접속해주세요!,Please Connect!,接続してください！,"Пожалуйста, Подключитесь!",請連接！
Quest.Name.MonsterKill,몬스터를 처치하라!,Keep The Monster!,モンスターを維持してください！,Держите Монстра!,保留怪物！
Quest.Name.EquipmentAdd,장비를 모아라!,Collect The Equipment!,機器を集めてください！,Соберите Оборудование!,收集設備！
Quest.Name.RoyalGrowth,왕가 성장 레벨업!,Royal Family Growth Level Up!,王室の成長レベルアップ！,Рост Королевской Семьи Повышается!,王室成長水平！
Quest.Name.RoyalForce,왕가 특성 레벨업!,Royal Characteristic Level Up!,王室の特性レベルアップ！,Королевский Характерный Уровень Вверх!,皇家特徵級別！
