name,RoyalMasteryType,StatType,Value,ValueAdd,MaxLevel,PrevMastery1,PrevNeedLevel1,PrevMastery2,PrevNeedLevel2,DescriptionText,LevelUpCost,NameText
젤리 보너스 II,Utile,StageJellyBonusRate,15.0,15.0,10,던전 젤리 I,5,,0,스테이지에서 젤리 획득 시 {0}%를 추가로 획득한다.,3.0,
던전 젤리 II,Utile,DungeonJellyBonusRate,20.0,20.0,10,젤리 보너스 II,5,,0,던전에서 젤리 획득 시 {0}%를 추가로 획득한다.,4.0,
젤리 보너스 III,Utile,StageJellyBonusRate,25.0,25.0,10,던전 젤리 II,5,,0,스테이지에서 젤리 획득 시 {0}%를 추가로 획득한다.,5.0,
던전 젤리 III,Utile,DungeonJellyBonusRate,30.0,30.0,10,젤리 보너스 III,5,,0,던전에서 젤리 획득 시 {0}%를 추가로 획득한다.,6.0,
젤리 보너스 IV,Utile,StageJellyBonusRate,35.0,35.0,10,던전 젤리 III,5,,0,스테이지에서 젤리 획득 시 {0}%를 추가로 획득한다.,7.0,
던전 젤리 IV,Utile,DungeonJellyBonusRate,40.0,40.0,10,젤리 보너스 IV,5,,0,던전에서 젤리 획득 시 {0}%를 추가로 획득한다.,8.0,
젤리 보너스 V,Utile,StageJellyBonusRate,45.0,45.0,10,던전 젤리 IV,5,,0,스테이지에서 젤리 획득 시 {0}%를 추가로 획득한다.,9.0,
던전 젤리 V,Utile,DungeonJellyBonusRate,50.0,50.0,10,젤리 보너스 V,5,,0,던전에서 젤리 획득 시 {0}%를 추가로 획득한다.,10.0,
성장 보너스 I,Utile,StageExpBonusRate,5.0,5.0,10,,5,,0,스테이지에서 경험치 획득 시 {0}%를 추가로 획득한다.,1.0,
던전 성장 I,Utile,DungeonExpBonusRate,10.0,10.0,10,성장 보너스 I,5,,0,던전에서 경험치 획득 시 {0}%를 추가로 획득한다.,2.0,
성장 보너스 II,Utile,StageExpBonusRate,15.0,15.0,10,던전 성장 I,5,,0,스테이지에서 경험치 획득 시 {0}%를 추가로 획득한다.,3.0,
던전 성장 II,Utile,DungeonExpBonusRate,20.0,20.0,10,성장 보너스 II,5,,0,던전에서 경험치 획득 시 {0}%를 추가로 획득한다.,4.0,
성장 보너스 III,Utile,StageExpBonusRate,25.0,25.0,10,던전 성장 II,5,,0,스테이지에서 경험치 획득 시 {0}%를 추가로 획득한다.,5.0,
던전 성장 III,Utile,DungeonExpBonusRate,30.0,30.0,10,성장 보너스 III,5,,0,던전에서 경험치 획득 시 {0}%를 추가로 획득한다.,6.0,
성장 보너스 IV,Utile,StageExpBonusRate,35.0,35.0,10,던전 성장 III,5,,0,스테이지에서 경험치 획득 시 {0}%를 추가로 획득한다.,7.0,
던전 성장 IV,Utile,DungeonExpBonusRate,40.0,40.0,10,성장 보너스 IV,5,,0,던전에서 경험치 획득 시 {0}%를 추가로 획득한다.,8.0,
성장 보너스 V,Utile,StageExpBonusRate,45.0,45.0,10,던전 성장 IV,5,,0,스테이지에서 경험치 획득 시 {0}%를 추가로 획득한다.,9.0,
던전 성장 V,Utile,DungeonExpBonusRate,50.0,50.0,10,성장 보너스 V,5,,0,던전에서 경험치 획득 시 {0}%를 추가로 획득한다.,10.0,
