name,Korean,English
Equipment_Weapon_Name_18,0,XXX
Equipment_Weapon_Name_19,0,XXX
Equipment_Weapon_Name_20,0,XXX
Equipment_Weapon_Name_21,0,XXX
Equipment_Weapon_Name_22,0,XXX
Equipment_Weapon_Name_23,0,XXX
Equipment_Weapon_Name_24,0,XXX
Equipment_Weapon_Name_25,0,XXX
Equipment_Shield_Name_0,0,XXX
Equipment_Shield_Name_1,0,XXX
Equipment_Shield_Name_2,0,XXX
Equipment_Shield_Name_3,0,XXX
Equipment_Shield_Name_4,0,XXX
Equipment_Shield_Name_5,0,XXX
Equipment_Shield_Name_6,0,XXX
Equipment_Shield_Name_7,0,XXX
Equipment_Shield_Name_8,0,XXX
Equipment_Shield_Name_9,0,XXX
Equipment_Shield_Name_10,0,XXX
Equipment_Shield_Name_11,0,XXX
Equipment_Shield_Name_12,0,XXX
Equipment_Shield_Name_13,0,XXX
Equipment_Shield_Name_14,0,XXX
Equipment_Shield_Name_15,0,XXX
Equipment_Shield_Name_16,0,XXX
Equipment_Shield_Name_17,0,XXX
Equipment_Shield_Name_18,0,XXX
Equipment_Shield_Name_19,0,XXX
Equipment_Shield_Name_20,0,XXX
Equipment_Shield_Name_21,0,XXX
Equipment_Shield_Name_22,0,XXX
Equipment_Shield_Name_23,0,XXX
Equipment_Shield_Name_24,0,XXX
Equipment_Shield_Name_25,0,XXX
Equipment_ACC_Name_0,0,XXX
Equipment_ACC_Name_1,0,XXX
Equipment_ACC_Name_2,0,XXX
Equipment_ACC_Name_3,0,XXX
Equipment_ACC_Name_4,0,XXX
Equipment_ACC_Name_5,0,XXX
Equipment_ACC_Name_6,0,XXX
Equipment_ACC_Name_7,0,XXX
Equipment_ACC_Name_8,0,XXX
Equipment_ACC_Name_9,0,XXX
Equipment_ACC_Name_10,0,XXX
Equipment_ACC_Name_11,0,XXX
Equipment_ACC_Name_12,0,XXX
Equipment_ACC_Name_13,0,XXX
Equipment_ACC_Name_14,0,XXX
Equipment_ACC_Name_15,0,XXX
Equipment_ACC_Name_16,0,XXX
Equipment_ACC_Name_17,0,XXX
Equipment_ACC_Name_18,0,XXX
Equipment_ACC_Name_19,0,XXX
Equipment_ACC_Name_20,0,XXX
Grade_Normal,노말,XXX
Grade_Rare,레어,XXX
Grade_Epic,에픽,XXX
Grade_Unique,유니트,XXX
Grade_Legend,레전드,XXX
Grade_Mythology,신화,XXX
Grade_God,갓,XXX
Artifact_Force_Precent,강화 성공 확률 {0}%,XXX
Dungeon_PigCow,리본 돼지 토벌,XXX
Dungeon_FishFight,피쉬 파이트!,XXX
Dungeon_Cave,광부 포획!,XXX
Quest_Type_Daily,일일 퀘스트,XXX
Quest_Type_Repeat,반복 퀘스트,XXX
Quest_Type_Weekly,주간 퀘스트,XXX
Quest_MosterKill,몬스터 처치 {0}회,XXX
Monster_Name_0,0,XXX
Monster_Name_1,0,XXX
Monster_Name_2,0,XXX
Monster_Name_3,0,XXX
Monster_Name_4,0,XXX
Monster_Name_5,0,XXX
Monster_Name_6,0,XXX
Monster_Name_7,0,XXX
Monster_Name_8,0,XXX
Monster_Name_9,0,XXX
Monster_Name_10,0,XXX
Monster_Name_11,0,XXX
Monster_Name_12,0,XXX
Monster_Name_13,0,XXX
Monster_Name_14,0,XXX
Monster_Name_15,0,XXX
Monster_Name_16,0,XXX
Monster_Name_17,0,XXX
Monster_Name_18,0,XXX
Monster_Name_19,0,XXX
Monster_Name_20,0,XXX
Monster_Name_21,0,XXX
Monster_Name_22,0,XXX
Monster_Name_23,0,XXX
Monster_Name_24,0,XXX
Monster_Name_25,0,XXX
Monster_Name_26,0,XXX
Monster_Name_27,0,XXX
Monster_Name_28,0,XXX
Monster_Name_29,0,XXX
Monster_Name_30,0,XXX
